,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
136,2979,7.1,34.6033333,-116.265,13.73,1999-10-16T09:46:44.460015Z,0,6,0,6,1.3,-999,0.958306832,-999,-999,-999,1,1,3,0,3,0,0,0,0,0,5.8,0,0,81.79036561,133.823798,1,1
137,2985,7,18.443,-72.571,13,2010-01-12T21:53:10.060025Z,0,16,0,16,1,-999,2.120954552,-999,-999,-999,1,1,16,0,16,0,0,0,0,0,6,0,0,49.38774723,114.6619326,1,1
138,3003,7.2,-56.032,-25.266,10,1991-12-27T04:05:58.240007Z,0,9,0,26,0.6,-999,0.384399973,-999,-999,-999,1,1,7,0,19,0,0,0,0,0,6.6,0,0,154.130827,156.1879214,-1,2
139,3007,7.2,-9.094,158.442,23.4,1991-10-14T15:58:12.789987Z,1,6,5,13,0.8,-999,0.203975903,1.7,-999,inf,2,1,4,1,9,4,6.9,0,5.5,0,6.4,0,123.0180721,149.2726298,156.1879214,1,3
140,3025,7.3,52.05,-171.836,52,2011-06-24T03:09:39.470021Z,0,5,0,13,1.5,-999,7.157214177,-999,-999,-999,2,1,4,0,9,0,0,0,0,0,6.9,0,0,48.44739257,182.289452,-1,2
141,3060,7.3,42.142,73.575,27.4,1992-08-19T02:04:37.409985Z,0,7,2,10,0.7,-999,20.79940845,-999,-999,-999,1,1,3,0,4,1,6.2,0,0,0,6.6,0,157.1410998,150.244215,182.289452,-1,3
142,3062,7.6,10.811,126.638,28,2012-08-31T12:47:33.379957Z,0,31,0,44,2,1.521257507,1.895434825,-999,-999,-999,1,1,1,0,2,0,0,0,0,0,6.1,0,0,232.192703,289.8036301,-1,3
143,3067,7.6,40.748,29.864,17,1999-08-17T00:01:39.129999Z,0,6,0,15,1.7,-999,0.218297395,-999,-999,-999,2,1,1,0,4,0,0,0,0,0,7.2,0,0,263.751136,289.8036301,1,1
144,3068,7.3,34.2,-116.437,-0.097,1992-06-28T11:57:34.130021Z,0,17,3,21,1,-999,0.647381774,-999,-999,-999,1,1,10,0,13,1,6.1,0,0,0,6.3,0,31.3064989,46.35048881,182.289452,1,1
145,3070,7.6,45.533,151.021,24.7,1991-12-22T08:43:13.410016Z,37,17,39,41,1.8,-999,1.039133302,0.8,0.847962841,2.877416909,1,1,1,10,7,12,6.8,0,6.8,0,6.5,0,178.2194531,226.3913159,289.8036301,1,3
