,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle,rates_bg,rates_fs,rates_as,time_fs,time_as
38,38,387,-999.0,-999.0,388,44.0,1.1,-999.0,1.1,-999.0,43.53,146.753,7.0,10,0,10,0,1980-02-23T05:51:02.000000,-999.0,-999.0,1,1,0,10,0,10,0.0,0.0,0.0,0.0,5.9,370403.0,0.0,83.19592927833385,114.66193259390072,-1.0,3.0,0.018390638631763583,,0.6339427939992275,0.0,15.774293981504247
39,39,424,-999.0,-999.0,425,33.0,0.8,-999.0,0.8,-999.0,-12.41,166.381,7.5,14,0,14,0,1980-07-08T23:19:17.999999,-999.0,-999.0,1,1,0,5,0,5,0.0,0.0,0.0,0.0,6.7,77853.999999,0.0,103.79007445124873,248.30743700128235,1.0,3.0,0.02127443347799784,,1.6527977044430557,0.0,8.470486111134568
40,40,428,-999.0,-999.0,429,33.0,2.2,-999.0,2.2,-999.0,-12.525,165.916,7.9,6,0,6,0,1980-07-17T19:42:22.000003,-999.0,-999.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.7,4025.0,0.0,96.20998981403305,460.72958753073897,1.0,3.0,0.015024586573589514,,2.8917114313611685,0.0,2.0748958332871124
41,41,443,-999.0,-999.0,444,10.0,1.1,-999.0,1.1,-999.0,36.195,1.354,7.3,10,0,11,0,1980-10-10T12:25:21.999997,-999.0,-999.0,1,1,0,7,0,7,0.0,0.0,0.0,0.0,6.2,11626.000002,0.0,33.04684134644927,182.28945197042378,-1.0,2.0,0.1138028459093689,,0.11379322607027291,0.0,96.66656250001172
42,42,445,-999.0,-999.0,446,33.0,1.4,0.5,1.4,0.5,-21.89,169.853,7.2,16,6,16,6,1980-10-25T11:00:04.000002,-999.0,-999.0,1,1,4,8,4,8,6.7,-8902.0,6.7,-8902.0,5.8,-0.0,34.021780782187896,60.55442604706377,156.1879214416901,-1.0,2.0,0.016435965762980058,4.560529950471096,3.230049932138,1.315636574074074,4.953483796273531
43,43,447,-999.0,-999.0,448,19.0,2.2,-999.0,2.2,-999.0,41.117,-124.253,7.2,3,0,3,0,1980-11-08T10:27:31.999999,-999.0,-999.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,63695.000003,0.0,114.5220119215366,156.1879214416901,1.0,1.0,0.0026939484878057683,,4.069393201787774,0.0,0.7372106481826416
44,44,465,-999.0,-999.0,466,33.0,1.4,-999.0,1.4,-999.0,51.744,176.274,7.0,5,0,5,0,1981-01-30T08:52:43.000000,-999.0,-999.0,1,1,0,5,0,5,0.0,0.0,0.0,0.0,5.6,188667.000002,0.0,57.098856973988056,114.66193259390072,1.0,3.0,0.002562570902277575,,0.17653895381068618,0.0,28.322361111088345
45,45,485,-999.0,-999.0,486,33.0,1.9,-999.0,1.9,-999.0,-48.786,164.357,7.6,4,0,4,0,1981-05-25T05:25:12.999999,-999.0,-999.0,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.7,447722.999999,0.0,65.00580609793586,289.8036300972396,1.0,1.0,0.002007499544304572,,0.19157810244518686,0.0,20.879212962997457
46,46,490,-999.0,-999.0,491,30.0,1.4,-999.0,1.4,-999.0,-17.26,167.601,7.0,6,0,6,0,1981-07-15T07:59:07.000001,-999.0,-999.0,1,1,0,6,0,6,0.0,0.0,0.0,0.0,5.6,1000.0,0.0,43.23162889961179,114.66193259390072,1.0,3.0,0.009815557191728153,,2.8608166351509468,0.0,2.0973032407172854
47,47,495,-999.0,-999.0,496,33.0,2.0,-999.0,2.0,-999.0,30.013,57.794,7.1,1,0,1,0,1981-07-28T17:22:23.000003,-999.0,-999.0,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.1,2522.999998,0.0,9.957278268268427,133.82379803431266,-1.0,3.0,0.0,,34.24494651896877,0.0,0.029201388866123227
