,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
125,7.2,2007-12-19T09:30:22.000001,2007-12-19T09:30:23.040001Z,2007-12-19T09:30:23.040001Z,51.36,-179.52,29.0,1867,3022,228,4,0,4,0,73,12,16,2,5,1,1,1,1,1,1
126,7.9,2008-05-12T06:28:02.999998,2008-05-12T06:28:04.800005Z,2008-05-12T06:28:04.800005Z,31.0,103.32,19.0,1932,3025,42,9,0,9,0,21,0,14,0,14,0,1,1,1,1,1
127,7.3,2008-11-16T17:02:31.000001,2008-11-16T17:02:32.640002Z,2008-11-16T17:02:32.640002Z,1.27,122.09,30.0,2043,1824,194,1,0,1,0,7,0,0,0,0,0,-1,-1,-1,-1,1
128,7.7,2009-01-03T19:43:47.999997,2009-01-03T19:43:49.439999Z,2009-01-03T19:43:49.439999Z,-0.41,132.88,17.0,2046,3044,76,30,0,24,0,36,0,22,0,22,0,2,2,2,2,2
129,7.4,2009-01-15T17:49:35.999998,2009-01-15T17:49:37.920001Z,2009-01-15T17:49:37.920001Z,46.86,155.15,36.0,2052,2994,162,1,0,1,0,7,0,1,0,1,4,1,-1,-1,-1,1
130,7.6,2009-03-19T18:17:40.999999,2009-03-19T18:17:42.719995Z,2009-03-19T18:17:42.719995Z,-23.05,-174.66,34.0,2076,3070,102,1,0,1,0,49,5,8,1,8,3,1,-1,-1,1,1
131,7.8,2009-07-15T09:22:26.000002,2009-07-15T09:22:27.840004Z,2009-07-15T09:22:27.840004Z,-45.76,166.56,12.0,2118,3067,64,10,0,10,0,15,0,9,0,9,0,1,1,1,1,1
132,7.5,2009-08-10T19:55:36.000000,2009-08-10T19:55:37.920003Z,2009-08-10T19:55:37.920003Z,14.1,92.89,4.0,2125,3091,131,3,0,2,0,10,0,2,0,2,0,-1,-1,1,-1,1
133,8.1,2009-09-29T17:48:09.999998,2009-09-29T17:48:11.519997Z,2009-09-29T17:48:11.519997Z,-15.49,-172.1,18.0,2140,3094,19,2,0,2,0,92,14,38,0,38,0,1,-1,-1,1,1
134,7.8,2009-10-07T22:18:53.000002,2009-10-07T22:18:54.720004Z,2009-10-07T22:18:54.720004Z,-12.52,166.38,35.0,2147,3093,53,10,0,10,0,83,4,44,1,44,2,3,1,1,3,5
135,7.3,2008-02-20T08:08:25.000003,2008-02-20T08:08:26.880004Z,2008-02-20T08:08:26.880004Z,2.77,95.96,26.0,2178,582,191,1,0,0,0,4,3,1,0,1,0,-1,-1,-1,-1,1
136,8.8,2010-02-27T06:34:15.000002,2010-02-27T06:34:16.319997Z,2010-02-27T06:34:16.319997Z,-35.85,-72.71,44.0,2201,3096,3,101,0,88,0,192,0,89,0,89,1,1,1,1,1,1
137,7.2,2010-04-04T22:40:38.000001,2010-04-04T22:40:39.360000Z,2010-04-04T22:40:39.360000Z,32.3,-115.27,6.0,2210,3088,247,4,0,4,0,8,1,3,0,3,0,1,1,1,1,1
138,7.5,2010-06-12T19:26:48.000002,2010-06-12T19:26:49.920001Z,2010-06-12T19:26:49.920001Z,7.88,91.94,35.0,2231,3090,136,5,0,5,0,7,2,5,0,5,0,1,1,1,1,1
139,7.3,2010-07-18T13:35:01.000000,2010-07-18T13:35:02.399999Z,2010-07-18T13:35:02.399999Z,-5.93,150.59,35.0,2244,3082,195,6,1,6,1,38,3,13,2,13,2,3,2,2,3,5
140,7.3,2010-08-10T05:23:41.000002,2010-08-10T05:23:42.719997Z,2010-08-10T05:23:42.719997Z,-17.54,168.07,25.0,2254,3083,186,9,0,9,0,119,0,11,0,11,0,1,1,1,1,4
141,7.8,2010-10-25T14:42:23.999998,2010-10-25T14:42:25.920000Z,2010-10-25T14:42:25.920000Z,-3.49,100.08,20.0,2282,3054,54,8,0,7,0,22,4,7,0,7,0,1,1,1,1,1
142,9.1,2011-03-11T05:46:18.000000,2011-03-11T05:46:19.199996Z,2011-03-11T05:46:19.199996Z,38.32,142.37,24.0,2330,3062,1,199,10,168,10,451,44,204,12,203,20,1,1,1,1,1
143,7.3,2011-06-24T03:09:36.999998,2011-06-24T03:09:38.880002Z,2011-06-24T03:09:38.880002Z,52.07,-171.84,52.0,2374,2912,211,9,0,5,0,14,0,5,0,5,0,1,1,2,1,2
144,7.6,2011-07-06T19:03:20.000002,2011-07-06T19:03:21.599999Z,2011-07-06T19:03:21.599999Z,-29.54,-176.34,17.0,2379,2959,92,17,0,15,0,78,0,39,0,39,2,1,1,1,1,2
145,7.5,2012-03-20T18:02:43.000001,2012-03-20T18:02:44.160003Z,2012-03-20T18:02:44.160003Z,16.5,-98.22,20.0,2508,2890,147,5,0,5,0,11,0,6,0,6,0,1,1,1,1,1
146,8.6,2012-04-11T08:38:31.000000,2012-04-11T08:38:32.640004Z,2012-04-11T08:38:32.640004Z,2.33,93.06,20.0,2515,2948,4,26,0,24,0,56,3,29,0,29,1,2,2,2,2,2
147,7.6,2012-08-31T12:47:30.000002,2012-08-31T12:47:31.200005Z,2012-08-31T12:47:31.200005Z,10.81,126.64,28.0,2578,2973,112,16,0,16,0,34,0,20,0,20,0,1,1,1,1,1
148,7.6,2012-09-05T14:42:07.000002,2012-09-05T14:42:08.639999Z,2012-09-05T14:42:08.639999Z,10.1,-85.31,35.0,2581,2971,107,5,0,5,0,28,4,5,3,3,0,1,1,1,2,2
149,7.8,2012-10-28T03:04:09.000003,2012-10-28T03:04:10.559997Z,2012-10-28T03:04:10.559997Z,52.79,-132.1,14.0,2600,2975,52,18,0,18,0,27,0,18,0,18,0,1,1,1,1,2
150,7.4,2012-11-07T16:35:43.999999,2012-11-07T16:35:45.599996Z,2012-11-07T16:35:45.599996Z,13.96,-91.85,24.0,2606,2976,176,13,0,13,0,31,3,11,1,11,2,1,1,1,1,1
151,7.2,2012-12-07T08:18:22.000001,2012-12-07T08:18:23.039997Z,2012-12-07T08:18:23.039997Z,37.89,144.09,36.0,2615,2369,223,3,0,3,0,10,1,3,0,3,1,2,2,2,2,3
152,7.9,2013-02-06T01:12:23.999997,2013-02-06T01:12:25.920000Z,2013-02-06T01:12:25.920000Z,-10.8,165.11,24.0,2638,2977,44,60,1,60,1,116,27,81,24,81,25,1,1,1,1,1
153,7.3,2013-07-15T14:03:39.999999,2013-07-15T14:03:41.759995Z,2013-07-15T14:03:41.759995Z,-60.86,-25.07,11.0,2695,2516,185,1,0,1,0,6,0,1,0,1,0,-1,-1,-1,-1,1
154,7.8,2013-09-24T11:29:43.999997,2013-09-24T11:29:45.600004Z,2013-09-24T11:29:45.600004Z,26.97,65.52,15.0,2725,2438,50,4,0,3,0,12,0,5,0,5,0,1,1,1,1,1
155,7.8,2013-11-17T09:04:52.000000,2013-11-17T09:04:53.760004Z,2013-11-17T09:04:53.760004Z,-60.27,-46.4,10.0,2743,2380,67,3,5,3,5,8,5,4,5,4,5,1,1,1,1,1
156,8.1,2014-04-01T23:46:44.000003,2014-04-01T23:46:45.120003Z,2014-04-01T23:46:45.120003Z,-19.61,-70.77,25.0,2793,2556,21,46,20,36,20,64,23,32,20,32,20,2,2,2,2,2
157,7.6,2014-04-12T20:14:37.000003,2014-04-12T20:14:38.399996Z,2014-04-12T20:14:38.399996Z,-11.27,162.15,22.0,2802,2569,91,18,0,18,0,59,0,23,0,22,1,2,2,2,2,5
158,7.3,2014-04-18T14:27:25.999998,2014-04-18T14:27:27.359998Z,2014-04-18T14:27:27.359998Z,17.4,-100.96,24.0,2812,2460,183,3,0,3,0,6,0,3,0,3,0,1,1,1,1,1
159,7.5,2015-03-29T23:48:26.999997,2015-03-29T23:48:28.799997Z,2015-03-29T23:48:28.799997Z,-4.73,152.56,41.0,2946,2944,117,4,0,4,0,93,102,13,1,11,1,1,1,1,1,4
160,7.9,2015-04-25T06:11:20.999997,2015-04-25T06:11:22.559997Z,2015-04-25T06:11:22.559997Z,28.15,84.71,15.0,2953,1736,37,9,0,9,0,10,0,9,0,9,1,1,1,1,1,1
161,8.3,2015-09-16T22:54:27.000002,2015-09-16T22:54:28.799999Z,2015-09-16T22:54:28.799999Z,-31.57,-71.67,22.0,3013,2574,12,50,0,41,0,92,1,44,0,44,1,1,1,1,1,1
162,7.8,2016-03-02T12:49:47.999997,2016-03-02T12:49:49.440001Z,2016-03-02T12:49:49.440001Z,-4.95,94.33,24.0,3062,2403,61,3,0,3,0,4,0,3,0,3,0,1,1,1,1,1
163,7.8,2016-04-16T23:58:32.000003,2016-04-16T23:58:33.599996Z,2016-04-16T23:58:33.599996Z,0.35,-79.93,21.0,3076,2539,66,21,0,18,0,28,0,15,0,15,0,1,1,1,1,1
164,7.2,2016-08-12T01:26:31.000001,2016-08-12T01:26:32.640000Z,2016-08-12T01:26:32.640000Z,-22.48,173.12,16.0,3114,2520,222,3,0,3,0,13,2,10,0,10,0,1,1,1,1,1
165,7.5,2016-08-19T07:32:24.999998,2016-08-19T07:32:26.880002Z,2016-08-19T07:32:26.880002Z,-55.28,-31.88,10.0,3117,2502,119,22,0,22,0,37,0,22,0,22,0,1,1,1,1,1
166,7.8,2016-11-13T11:02:56.999997,2016-11-13T11:02:58.559998Z,2016-11-13T11:02:58.559998Z,-42.74,173.05,15.0,3153,2510,48,13,0,13,0,18,0,14,0,14,0,1,1,1,1,1
167,7.8,2016-12-08T17:38:48.000002,2016-12-08T17:38:49.919995Z,2016-12-08T17:38:49.919995Z,-10.68,161.32,40.0,3163,2555,51,19,0,19,0,59,0,37,0,37,0,1,1,1,1,1
168,7.6,2016-12-25T14:22:23.000002,2016-12-25T14:22:24.959999Z,2016-12-25T14:22:24.959999Z,-43.41,-73.94,38.0,3184,1242,103,1,0,1,0,2,0,1,0,1,0,-1,-1,-1,-1,-1
169,7.8,2017-07-17T23:34:12.000000,2017-07-17T23:34:13.440002Z,2017-07-17T23:34:13.440002Z,54.47,168.82,11.0,3255,2928,63,3,2,3,2,10,7,4,2,4,2,1,1,1,1,1
170,8.2,2017-09-08T04:49:16.000002,2017-09-08T04:49:17.760005Z,2017-09-08T04:49:17.760005Z,15.02,-93.9,47.0,3269,2561,13,34,0,32,0,65,8,30,1,29,5,1,1,1,1,1
171,7.4,2017-11-12T18:18:16.000001,2017-11-12T18:18:17.279997Z,2017-11-12T18:18:17.279997Z,34.91,45.96,19.0,3303,2327,164,1,0,1,0,11,0,1,0,1,0,-1,-1,-1,-1,1
172,7.9,2018-01-23T09:31:39.000002,2018-01-23T09:31:40.800000Z,2018-01-23T09:31:40.800000Z,56.0,-149.17,14.0,3314,2933,40,9,0,9,0,17,0,8,0,8,0,1,1,1,1,1
173,7.5,2018-02-25T17:44:42.999997,2018-02-25T17:44:44.159997Z,2018-02-25T17:44:44.159997Z,-6.07,142.75,25.0,3330,2514,143,27,0,27,0,36,0,26,0,26,0,1,1,1,1,1
174,7.6,2018-09-28T10:02:46.000002,2018-09-28T10:02:47.039998Z,2018-09-28T10:02:47.039998Z,-0.25,119.84,20.0,3412,2368,94,7,2,7,2,11,2,8,2,8,2,1,1,1,1,1
175,7.5,2018-12-05T04:18:10.000001,2018-12-05T04:18:11.519997Z,2018-12-05T04:18:11.519997Z,-21.95,169.43,10.0,3450,2940,130,10,0,10,0,30,87,13,5,13,7,1,1,1,1,1
176,7.2,2018-12-20T17:01:56.999997,2018-12-20T17:01:58.080001Z,2018-12-20T17:01:58.080001Z,55.1,164.7,16.0,3456,2499,239,8,0,8,0,16,0,8,0,8,0,1,1,1,1,1
177,7.3,2019-06-15T22:55:01.999997,2019-06-15T22:55:03.360001Z,2019-06-15T22:55:03.360001Z,-30.64,-178.1,46.0,3527,2533,182,12,0,12,0,43,12,31,0,31,1,1,1,1,1,1
178,7.2,2019-07-14T09:10:46.000003,2019-07-14T09:10:47.999995Z,2019-07-14T09:10:47.999995Z,-0.59,128.03,19.0,3547,2495,258,2,0,2,0,5,0,2,0,2,0,-1,-1,-1,-1,1
