,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr
90,7.6,-11.27,162.15,22.6,2014-04-12T20:14:38.399996Z,1,22,1,25,2,2,0.0,5,1,5,1
91,7.6,-29.54,-176.34,17.0,2011-07-06T19:03:21.599999Z,2,39,2,42,1,1,2.0,7,1,8,1
92,7.6,38.19,142.03,44.0,1978-06-12T08:14:29.760001Z,0,5,0,5,1,1,0.0,5,0,5,0
93,7.6,-0.25,119.84,20.0,2018-09-28T10:02:47.039998Z,2,8,2,9,1,1,0.0,0,1,0,1
94,7.6,34.54,73.59,26.0,2005-10-08T03:50:41.280004Z,0,18,0,19,1,1,3.0,5,0,5,0
95,7.6,11.76,-87.42,10.0,1992-09-02T00:15:59.040000Z,2,11,2,11,1,1,0.0,7,1,7,1
96,7.6,-60.53,-43.41,10.0,2003-08-04T04:37:20.639996Z,0,3,0,3,1,1,0.0,0,0,0,0
97,7.6,-26.62,-70.77,18.0,1983-10-04T18:52:16.320003Z,0,2,0,2,-1,-1,3.0,1,0,1,0
98,7.6,-4.05,152.6,10.0,2019-05-14T12:58:27.839996Z,0,4,0,4,1,1,1.0,2,0,2,0
99,7.6,9.68,-83.08,10.0,1991-04-22T21:56:52.799996Z,0,4,0,5,1,1,3.0,2,0,3,0
100,7.6,45.47,151.05,26.0,1991-12-22T08:43:09.119997Z,13,4,13,6,1,1,3.0,0,8,1,8
101,7.6,-23.05,-174.66,34.0,2009-03-19T18:17:42.719995Z,3,8,3,8,1,1,3.0,1,0,1,0
102,7.6,-43.41,-73.94,38.0,2016-12-25T14:22:24.959999Z,0,1,0,1,-1,-1,3.0,0,0,0,0
103,7.6,39.57,117.98,23.0,1976-07-27T19:42:57.599997Z,0,1,0,1,-1,-1,0.0,1,0,1,0
104,7.6,-48.79,164.36,33.0,1981-05-25T05:25:17.759997Z,0,3,0,3,1,1,1.0,2,0,2,0
105,7.6,40.75,29.86,17.0,1999-08-17T00:01:35.039999Z,1,3,1,4,1,1,1.0,1,0,1,0
106,7.6,10.1,-85.31,35.0,2012-09-05T14:42:08.639999Z,0,3,0,6,1,1,3.0,1,0,2,0
107,7.6,38.11,144.55,19.7,2011-03-11T06:25:46.559998Z,0,0,0,0,-1,-1,2.0,0,0,0,0
108,7.6,-17.54,-72.08,33.0,2001-07-07T09:38:44.160005Z,0,0,0,1,-1,-1,0.0,0,0,0,0
109,7.6,60.95,167.09,22.0,2006-04-20T23:25:00.479996Z,0,11,0,13,1,1,3.0,4,0,5,0
