,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
50,50,-999,-999,512,33,2.1,-999.0,2.1,-999.0,18.048,-102.084,7.3,2,0,2,0,1981-10-25T03:22:14.000001,-999,-999,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.2,801.999998,0.0,74.44865351233578,182.28945197042378,1.0,3.0
51,51,-999,-999,521,10,0.7,-999.0,0.7,-999.0,39.243,25.227,7.2,4,0,4,0,1981-12-19T14:10:49.000002,-999,-999,1,1,0,2,0,2,0.0,0.0,0.0,0.0,6.5,841795.0,0.0,63.388504214690414,156.1879214416901,-1.0,2.0
52,52,-999,-999,522,33,1.7,0.3,1.7,0.3,-29.934,-177.741,7.1,3,9,3,9,1981-12-26T17:05:30.999997,-999,-999,2,2,6,3,6,3,6.8,165853.999994,6.8,165853.999994,5.4,47838.000004,70.27281187305499,56.26574216615085,133.82379803431266,1.0,3.0
53,53,-999,-999,527,45,1.2,-999.0,1.2,-999.0,13.752,124.358,7.1,2,0,2,0,1982-01-11T06:10:04.999996,-999,-999,-1,-1,0,2,0,2,0.0,0.0,0.0,0.0,5.9,2352.000006,0.0,31.31113464976784,133.82379803431266,1.0,3.0
54,54,-999,-999,560,33,2.0,0.1,2.0,0.1,16.558,-98.358,7.0,1,1,1,1,1982-06-07T10:59:39.000002,-999,-999,-1,-1,1,1,1,1,6.9,0.0,6.9,0.0,5.0,-0.0,22.937130607069758,10.868609371417053,114.66193259390072,1.0,3.0
55,55,-999,-999,568,10,1.7,-999.0,1.7,-999.0,-51.225,160.513,7.0,1,0,1,0,1982-07-07T10:43:01.999998,-999,-999,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.3,5634.000001,0.0,17.421840538288034,114.66193259390072,1.0,1.0
56,56,-999,-999,569,36,0.9,1.8,0.9,1.8,36.194,141.702,7.1,6,2,6,2,1982-07-23T14:23:51.999999,-999,-999,1,1,2,3,2,3,5.3,-149855.0,5.3,-149855.0,6.2,12608.999998,9.842937603055727,50.73835524256164,133.82379803431266,1.0,3.0
57,57,-999,-999,573,30,1.5,-999.0,1.5,-999.0,-12.597,165.931,7.0,1,0,1,0,1982-08-05T20:32:51.000000,-999,-999,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.5,555.000002,0.0,44.17078722276985,114.66193259390072,1.0,3.0
58,58,-999,-999,612,33,0.9,1.5,0.9,1.5,-24.133,-175.864,7.2,29,1,29,1,1982-12-19T17:43:52.999997,-999,-999,1,1,1,25,1,25,5.7,-289819.000005,5.7,-289819.000005,6.3,86534.0,7.726812408880226,116.08637468366943,156.1879214416901,-1.0,2.0
59,59,-999,-999,625,14,1.4,-999.0,1.4,-999.0,38.026,20.228,7.0,7,0,7,0,1983-01-17T12:41:27.999998,-999,-999,1,1,0,7,0,7,0.0,0.0,0.0,0.0,5.6,127244.000005,0.0,31.026571376285844,114.66193259390072,1.0,3.0
60,60,-999,-999,649,37,1.5,-999.0,1.5,-999.0,8.717,-83.123,7.1,7,0,7,0,1983-04-03T02:49:59.999999,-999,-999,1,1,0,7,0,7,0.0,0.0,0.0,0.0,5.6,1417.000004,0.0,114.95465186719659,133.82379803431266,-1.0,2.0
61,61,-999,-999,664,23,1.6,-999.0,1.6,-999.0,40.462,139.102,7.4,26,0,26,0,1983-05-26T02:59:57.999999,-999,-999,1,1,0,9,0,9,0.0,0.0,0.0,0.0,5.8,3419.000002,0.0,100.01163582438528,212.75297086326285,1.0,2.0
62,62,-999,-999,697,62,2.1,-999.0,2.1,-999.0,55.867,161.287,7.1,1,0,1,0,1983-08-17T10:55:52.999997,-999,-999,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,-0.0,0.0,19.945662393875462,133.82379803431266,-1.0,3.0
63,63,-999,-999,698,14,0.7,-999.0,0.7,-999.0,-26.535,-70.563,7.4,8,0,8,0,1983-10-04T18:52:12.000000,-999,-999,1,1,0,3,0,3,0.0,0.0,0.0,0.0,6.7,405207.000001,0.0,74.28728609047107,212.75297086326285,-1.0,2.0
64,64,-999,-999,700,24,0.7,-999.0,0.7,-999.0,-60.665,-25.451,7.2,6,0,6,0,1983-10-22T04:21:34.000002,-999,-999,1,1,0,5,0,5,0.0,0.0,0.0,0.0,6.5,31564.0,0.0,51.078066832387314,156.1879214416901,-1.0,2.0
65,65,-999,-999,710,10,1.0,-999.0,1.0,-999.0,-6.852,72.11,7.3,24,0,27,0,1983-11-30T17:46:00.000001,-999,-999,1,1,0,10,0,9,0.0,0.0,0.0,0.0,6.3,259032.999999,0.0,139.26184083364944,182.28945197042378,-1.0,2.0
66,66,-999,-999,711,67,1.8,-999.0,1.8,-999.0,14.066,-91.924,7.0,1,0,1,0,1983-12-02T03:09:04.000001,-999,-999,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.2,31578.0,0.0,8.008547992531096,114.66193259390072,1.0,3.0
67,67,-999,-999,731,18,1.2,-999.0,1.2,-999.0,-10.012,160.469,7.6,4,0,4,0,1984-02-07T21:33:19.999997,-999,-999,1,1,0,1,0,1,0.0,0.0,0.0,0.0,6.4,37467.000003,0.0,38.544391309458504,289.8036300972396,-1.0,3.0
68,68,-999,-999,740,14,1.8,-999.0,1.8,-999.0,40.32,63.35,7.0,3,0,3,0,1984-03-19T20:28:36.999998,-999,-999,1,1,0,3,0,3,0.0,0.0,0.0,0.0,5.2,36002.0,0.0,13.021092906584379,114.66193259390072,-1.0,3.0
69,69,-999,-999,741,44,2.0,-999.0,2.0,-999.0,44.117,148.192,7.2,6,0,6,0,1984-03-24T09:44:00.999999,-999,-999,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.2,11285.0,0.0,62.340804513763736,156.1879214416901,1.0,3.0
70,70,-999,-999,823,33,1.8,-999.0,1.8,-999.0,0.197,98.027,7.1,2,0,2,0,1984-11-17T06:49:29.000000,-999,-999,-1,-1,0,1,0,1,0.0,0.0,0.0,0.0,5.3,2261.0,0.0,17.83350069922757,133.82379803431266,1.0,3.0
71,71,-999,-999,850,33,0.6,2.3,0.6,2.3,-33.135,-71.871,8.0,58,6,60,6,1985-03-03T22:47:06.000004,-999,-999,1,1,0,11,0,11,5.7,878036.000002,5.7,878036.000002,7.4,14941.999993,13.506366362449992,126.10043797777595,537.7249613305888,1.0,3.0
72,72,-999,-999,865,50,1.4,-999.0,1.4,-999.0,1.622,126.411,7.0,3,0,3,0,1985-04-13T03:00:05.000003,-999,-999,1,1,0,3,0,3,0.0,0.0,0.0,0.0,5.6,0.0,0.0,27.283485718240904,114.66193259390072,1.0,3.0
73,73,-999,-999,874,26,1.4,-999.0,1.4,-999.0,-5.599,151.045,7.2,5,0,5,0,1985-05-10T15:35:49.000003,-999,-999,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.8,9547.999995,0.0,28.700283485234547,156.1879214416901,-1.0,1.0
74,74,-999,-999,888,33,1.7,-999.0,1.7,-999.0,-4.439,152.828,7.3,3,0,3,0,1985-07-03T04:36:50.000003,-999,-999,1,1,0,2,0,2,0.0,0.0,0.0,0.0,5.6,69201.999997,0.0,34.486255544220626,182.28945197042378,1.0,3.0
75,75,-999,-999,904,6,0.8,1.9,0.8,1.9,39.431,75.224,7.0,6,1,6,1,1985-08-23T12:41:54.999998,-999,-999,1,1,1,6,1,6,5.1,-557871.999999,5.1,-557871.999999,6.2,1816760.0,11.257919208919342,50.772209421933624,114.66193259390072,-1.0,3.0
76,76,-999,-999,918,27,0.4,-999.0,0.4,-999.0,18.19,-102.533,8.0,5,0,6,0,1985-09-19T13:17:45.999999,-999,-999,2,2,0,1,0,1,0.0,0.0,0.0,0.0,7.6,498370.000002,0.0,175.69027164831064,537.7249613305888,1.0,3.0
