,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
61,61,2556,7.2,-33.134,-73.074,33.0,1981-10-16T03:25:42.220040Z,0,1,0,2,2.1000000000000005,-999.0,inf,-999.0,-999.0,-999.0,-1,-1,0,0,1,0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,18.975125682525768,156.1879214416901,1.0,3.0
62,62,2558,7.1,30.013,57.794,33.0,1981-07-28T17:22:24.620018Z,0,1,1,2,2.0,-999.0,inf,-999.0,-999.0,-999.0,2,-1,1,0,2,1,6.7,0.0,0.0,0.0,5.1,-0.0,13.4786678271313,15.810834361177562,133.82379803431266,-1.0,3.0
63,63,2578,7.8,-4.9521,94.3299,24.0,2016-03-02T12:49:48.110044Z,0,2,0,2,2.2,-999.0,5.345672928124693,-999.0,-999.0,-999.0,-1,-1,0,0,0,0,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,19.70408504787928,394.75897176315374,-1.0,1.0
64,64,2605,7.0,37.552,142.214,22.0,2008-07-19T02:39:28.700040Z,0,2,0,3,1.5999999999999996,-999.0,0.6154757751013445,-999.0,-999.0,-999.0,1,-1,2,0,3,0,0.0,0.0,0.0,0.0,5.4,-0.0,0.0,40.49981052678004,114.66193259390072,-1.0,3.0
65,65,2727,7.0,-32.1082,-110.8112,16.54,2014-10-09T02:14:31.439966Z,0,7,0,8,0.4000000000000003,-999.0,0.2997517725214956,-999.0,-999.0,-999.0,2,2,7,0,8,0,0.0,0.0,0.0,0.0,6.6,-0.0,0.0,49.76364625364897,114.66193259390072,-1.0,1.0
66,66,2763,7.0,51.934,158.647,34.0,1993-11-13T01:18:04.179974Z,0,4,1,9,1.0,-999.0,0.137325641382167,-999.0,-999.0,-999.0,1,1,4,0,9,1,6.1,-0.0,0.0,0.0,6.0,0.0,16.48695567666522,45.60090435024313,114.66193259390072,-1.0,3.0
67,67,2843,7.0,-20.553,169.361,27.7,1994-02-12T17:58:23.989990Z,0,11,1,14,0.5,-999.0,2.3638312332138445,-999.0,-999.0,-999.0,1,1,11,0,14,1,5.4,-0.0,0.0,0.0,6.5,0.0,58.9913797341899,88.34752927938091,114.66193259390072,1.0,3.0
68,68,2924,7.0,-6.92,128.946,33.0,1998-11-09T05:38:44.220016Z,1,3,1,5,1.4000000000000004,-999.0,2.319808515861411,0.2999999999999998,-999.0,inf,2,2,3,1,5,1,6.7,0.0,6.7,0.0,5.8,0.0,9.2043903798546,38.93181576112158,114.66193259390072,-1.0,3.0
69,69,2959,8.2,0.802,92.463,25.1,2012-04-11T10:43:10.849955Z,0,4,0,6,2.799999999999999,-999.0,0.8087947630760625,-999.0,-999.0,-999.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,44.24939943773119,549.3506570855053,-1.0,1.0
70,70,2973,7.2,-56.032,-25.266,10.0,1991-12-27T04:05:58.240007Z,0,0,0,7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1,-1,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.1879214416901,-1.0,2.0
71,71,2986,7.1,29.976,68.208,33.0,1997-02-27T21:08:02.359967Z,0,3,0,6,1.0999999999999996,-999.0,0.1464742213974193,-999.0,-999.0,-999.0,1,1,3,0,6,0,0.0,0.0,0.0,0.0,6.0,-0.0,0.0,40.431649317279664,133.82379803431266,1.0,3.0
72,72,3009,7.4,16.779,-98.597,23.0,1995-09-14T14:04:31.429974Z,0,1,1,2,2.3000000000000007,-999.0,inf,-999.0,-999.0,-999.0,1,-1,0,0,0,1,6.7,-0.0,0.0,0.0,5.2,0.0,13.055946330454367,34.994385836648654,212.75297086326285,1.0,3.0
73,73,3050,7.7,-14.993,-75.675,33.0,1996-11-12T16:59:44.029963Z,0,19,0,20,1.6000000000000003,-999.0,1.0384238193741802,-999.0,-999.0,-999.0,1,1,4,0,4,0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,66.40268093442343,338.2345089289617,1.0,3.0
