,Unnamed: 0.1,Unnamed: 0,cid,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,dm_a,b_a,rate_a,dm_f,b_f,rate_f,c_type,c_type60,fstyle_m,na_apr,nf_apr,na_all_apr,nf_all_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
48,48,48,49,7.8,-10.47,112.98,39.0,1994-06-02T18:17:34.080000Z,0,19,0,21,1.2000000000000002,-999.0,1.207223005855094,-999.0,-999,-999.0,1,1,0.0,5,0,5,0,0.0,0.0,0.0,0.0,6.6,86322.240001,0.0,97.50554148346423,394.75897176315374,1.0,3.0
49,49,49,50,7.8,26.97,65.52,15.0,2013-09-24T11:29:45.600004Z,0,5,0,6,1.0,-999.0,0.2098019469616004,-999.0,-999,-999.0,1,1,0.0,2,0,2,0,0.0,0.0,0.0,0.0,6.8,283132.8,0.0,181.21725272871112,394.75897176315374,1.0,3.0
50,50,50,51,7.8,-10.68,161.32,40.0,2016-12-08T17:38:49.919995Z,0,37,0,40,0.8999999999999995,0.9002182538050618,1.3722203266617303,-999.0,-999,-999.0,1,1,3.0,8,0,10,0,0.0,0.0,0.0,0.0,6.9,88464.960002,0.0,344.11053732901615,394.75897176315374,1.0,3.0
51,51,51,52,7.8,52.79,-132.1,14.0,2012-10-28T03:04:10.559997Z,0,18,0,18,1.3999999999999997,-999.0,1.1592112211616452,-999.0,-999,-999.0,1,1,3.0,3,0,3,0,0.0,0.0,0.0,0.0,6.4,-0.0,0.0,75.1919763460583,394.75897176315374,1.0,3.0
52,52,52,53,7.8,-12.52,166.38,35.0,2009-10-07T22:18:54.720004Z,2,44,2,48,0.3999999999999994,0.8344522796394357,2.2404741658040823,0.2000000000000001,-999,2.839295854442606,3,3,3.0,9,1,9,1,7.6,941.76,7.6,941.76,7.4,-941.76,93.26683013023204,209.62611519545777,394.75897176315374,1.0,3.0
53,53,53,54,7.8,-3.49,100.08,20.1,2010-10-25T14:42:25.920000Z,0,7,0,8,1.5,-999.0,0.4777406960013179,-999.0,-999,-999.0,1,1,0.0,2,0,2,0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,208.00749797920076,394.75897176315374,1.0,3.0
54,54,54,55,7.8,-5.5,151.78,33.0,2000-11-17T21:01:52.320000Z,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-1,-1,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.75897176315374,1.0,3.0
55,55,55,56,7.8,-29.21,-177.89,69.0,1976-01-14T15:56:35.519995Z,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-1,-1,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.75897176315374,1.0,3.0
56,56,56,57,7.8,58.68,-142.79,10.0,1987-11-30T19:23:13.919996Z,5,4,5,4,2.0,-999.0,0.2830876368540151,0.7000000000000002,-999,0.8419634587791545,1,1,1.0,1,2,1,2,7.1,1161380.159998,7.1,1161380.159998,5.8,-1161380.159998,337.9119995003847,68.10039393866619,394.75897176315374,-1.0,1.0
57,57,57,58,7.8,35.95,90.54,10.0,2001-11-14T09:26:12.480004Z,0,5,0,5,2.2,-999.0,0.2596202275309615,-999.0,-999,-999.0,1,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,308.70083634411327,394.75897176315374,-1.0,1.0
