,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,fstyle_m,nf_all_apr,na_all_apr,nf_apr,na_apr,MmaxFS,dtmaxFS,MmaxFS60,dtmaxFS60,MmaxAS,dtmaxAS,RmaxFS,RmaxAS,Rpred,InterIntra,fstyle
61,61,61,61,-999,-999,369,20,1.4,-999.0,1.4,-999.0,-7.29,154.39,7.0,2,0,2,0,1987-10-12T13:57:02.999999,-999,-999,-1,-1,2,0,2,0,2,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,8.036990403112172,114.66193259390072,-1.0,2.0
62,62,62,62,-999,-999,370,24,1.8,-999.0,1.8,-999.0,-6.25,149.09,7.3,1,0,1,0,1987-10-16T20:48:01.000000,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,5.5,0.0,0.0,33.43378891292128,182.28945197042378,1.0,3.0
63,63,63,63,-999,-999,375,10,1.3,-999.0,1.3,-999.0,58.82,-143.21,7.1,3,0,3,0,1987-11-17T08:46:52.000001,-999,-999,1,1,0,0,2,0,2,0.0,0.0,0.0,0.0,5.8,80784.000001,0.0,41.5857602514008,133.82379803431266,-1.0,1.0
64,64,64,64,-999,-999,379,10,2.0,-999.0,2.0,-999.0,58.68,-142.79,7.8,4,0,4,0,1987-11-30T19:23:11.999997,-999,-999,1,1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.8,-0.0,0.0,68.10039393866619,394.75897176315374,-1.0,1.0
65,65,65,65,-999,-999,384,33,0.9,0.2,0.9,0.2,-24.77,-70.37,7.2,4,2,4,2,1988-02-05T14:01:05.000003,-999,-999,2,2,3,2,4,2,4,7.0,1492241.000004,7.0,1492241.000004,6.3,-1492241.000004,31.291589384864842,63.64864362262499,156.1879214416901,1.0,3.0
66,66,66,66,-999,-999,390,21,1.6,-999.0,1.6,-999.0,13.42,124.6,7.2,1,0,1,0,1988-02-24T03:51:57.999997,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,4.865832315084933,156.1879214416901,1.0,3.0
67,67,67,67,-999,-999,396,10,2.7,-999.0,2.7,-999.0,57.27,-142.79,7.7,1,0,1,0,1988-03-06T22:35:35.000002,-999,-999,-1,-1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.845917677595214,338.2345089289617,-1.0,1.0
68,68,68,68,-999,-999,400,54,0.9,-999.0,0.9,-999.0,-17.32,-72.4,7.1,3,0,3,0,1988-04-12T23:19:57.000003,-999,-999,1,1,0,0,3,0,3,0.0,0.0,0.0,0.0,6.2,-0.0,0.0,23.19200296717517,133.82379803431266,1.0,3.0
69,69,69,69,-999,-999,415,38,1.9,-999.0,1.9,-999.0,-10.21,160.77,7.5,2,0,2,0,1988-08-10T04:38:28.000003,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,5.6,-0.0,0.0,56.605403497092,248.30743700128235,1.0,3.0
70,70,70,70,-999,-999,428,10,0.9,-999.0,0.9,-999.0,22.81,99.77,7.0,4,0,4,0,1988-11-06T13:03:11.000000,-999,-999,1,1,1,0,4,0,4,0.0,0.0,0.0,0.0,6.1,1782881.999998,0.0,72.81520782252856,114.66193259390072,-1.0,1.0
71,71,71,71,-999,-999,442,33,1.2,-999.0,1.2,-999.0,2.26,126.82,7.1,8,0,8,0,1989-02-10T11:15:20.000001,-999,-999,1,1,3,0,8,0,8,0.0,0.0,0.0,0.0,5.9,0.0,0.0,38.299259085714006,133.82379803431266,1.0,3.0
72,72,72,72,-999,-999,464,10,2.1,-999.0,2.1,-999.0,-52.24,160.2,8.0,6,0,6,0,1989-05-23T10:54:45.000001,-999,-999,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,141.03541580413352,537.7249613305888,1.0,1.0
73,73,73,73,-999,-999,483,38,1.5,-999.0,1.5,-999.0,39.8,142.84,7.4,8,0,9,0,1989-11-01T18:25:35.999997,-999,-999,1,1,0,0,4,0,4,0.0,0.0,0.0,0.0,5.9,69397.000002,0.0,100.1954491718039,212.75297086326285,1.0,3.0
74,74,74,74,-999,-999,489,33,1.0,-999.0,1.0,-999.0,8.39,126.78,7.5,9,0,9,0,1989-12-15T18:43:45.000002,-999,-999,1,1,3,0,7,0,7,0.0,0.0,0.0,0.0,6.5,305053.0,0.0,72.93757866833738,248.30743700128235,1.0,3.0
75,75,75,75,-999,-999,506,19,1.6,-999.0,1.6,-999.0,9.89,-84.89,7.3,1,0,1,0,1990-03-25T13:22:54.999999,-999,-999,-1,-1,0,0,1,0,1,0.0,0.0,0.0,0.0,5.7,-0.0,0.0,35.97493385052805,182.28945197042378,1.0,3.0
76,76,76,76,-999,-999,507,33,2.3,-999.0,2.3,-999.0,-22.04,175.16,7.6,1,0,1,0,1990-03-03T12:16:22.999997,-999,-999,-1,-1,1,0,0,0,0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,22.46026312799179,289.8036300972396,1.0,1.0
77,77,77,77,-999,-999,509,32,1.2,-999.0,1.2,-999.0,15.23,147.53,7.4,2,0,2,0,1990-04-05T21:12:39.000001,-999,-999,-1,-1,2,0,1,0,1,0.0,0.0,0.0,0.0,6.2,0.0,0.0,20.050138833294046,212.75297086326285,-1.0,2.0
78,78,78,78,-999,-999,511,28,1.1,-999.0,0.1,-999.0,1.16,122.84,7.6,7,0,12,0,1990-04-18T13:39:19.999998,-999,-999,2,1,3,0,6,0,4,0.0,0.0,0.0,0.0,7.5,12473404.000001,0.0,98.1434437464887,289.8036300972396,1.0,3.0
79,79,79,79,-999,-999,514,7,-999.0,-999.0,-999.0,-999.0,5.04,32.11,7.1,2,0,2,0,1990-05-20T02:21:58.000001,-999,-999,-1,-1,1,0,2,0,2,0.0,0.0,0.0,0.0,7.1,407565.999999,0.0,40.05395333651399,133.82379803431266,-1.0,1.0
80,80,80,80,-999,-999,517,15,1.7,-999.0,1.7,-999.0,11.33,122.17,7.1,1,0,1,0,1990-06-14T07:40:55.000003,-999,-999,-1,-1,1,0,1,0,1,0.0,0.0,0.0,0.0,5.4,-0.0,0.0,10.14076022657248,133.82379803431266,-1.0,1.0
81,81,81,81,-999,-999,519,10,1.7,-999.0,1.7,-999.0,36.96,49.41,7.4,3,0,3,0,1990-06-20T21:00:07.000000,-999,-999,1,1,0,0,1,0,1,0.0,0.0,0.0,0.0,5.7,0.0,0.0,49.57820764037347,212.75297086326285,-1.0,1.0
82,82,82,82,-999,-999,523,25,1.2,-999.0,1.2,-999.0,15.66,121.23,7.7,9,0,9,0,1990-07-16T07:26:30.999999,-999,-999,1,1,1,0,4,0,4,0.0,0.0,0.0,0.0,6.5,124805.0,0.0,170.39098657765538,338.2345089289617,-1.0,1.0
83,83,83,83,-999,-999,551,10,1.4,-999.0,1.4,-999.0,9.68,-83.08,7.6,5,0,5,0,1991-04-22T21:56:50.999999,-999,-999,1,1,3,0,3,0,3,0.0,0.0,0.0,0.0,6.2,373551.000001,0.0,70.16149894725844,289.8036300972396,1.0,3.0
84,84,84,84,-999,-999,553,10,0.9,-999.0,0.9,-999.0,42.49,43.65,7.0,2,0,2,0,1991-04-29T09:12:46.999999,-999,-999,-1,-1,3,0,2,0,2,0.0,0.0,0.0,0.0,6.1,-0.0,0.0,38.52043776547749,114.66193259390072,-1.0,3.0
85,85,85,85,-999,-999,563,10,-999.0,0.7,-999.0,0.7,41.61,-125.51,7.0,0,1,0,1,1991-08-17T22:17:09.999998,-999,-999,-1,-1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.66193259390072,-1.0,1.0
86,86,86,86,-999,-999,567,33,1.9,-999.0,1.9,-999.0,-9.05,158.49,7.2,1,0,1,0,1991-10-14T15:58:09.000002,-999,-999,-1,-1,3,0,1,0,1,0.0,0.0,0.0,0.0,5.3,0.0,0.0,9.923836046294989,156.1879214416901,1.0,3.0
87,87,87,87,-999,-999,572,21,2.0,-999.0,2.0,-999.0,4.56,-77.49,7.2,1,0,1,0,1991-11-19T22:28:49.000002,-999,-999,-1,-1,0,0,1,0,1,0.0,0.0,0.0,0.0,5.2,0.0,0.0,20.052040578819838,156.1879214416901,1.0,3.0
