,M0,T0Z,T0M,T0G,Lat0,Lon0,Dep0,Cid_Z,Cid_G,Cid_M,N_AS_allZ,N_FS_allZ,N_AS_Z,N_FS_Z,N_AS_allG,N_FS_allG,N_AS_G,N_FS_G,N_AS_M,N_FS_M,c_typeM,c_typeZ,c_typeallZ,c_typeG,c_typeallG
79,7.7,1995-05-16T20:12:43.000003,1995-05-16T20:12:44.219978Z,1995-05-16T20:12:44.219978Z,-23.008,169.9,20.0,1993,3218,91,18,0,18,0,47,1,26,0,26,0,1,1,1,1,1
80,7.2,1995-07-03T19:50:48.999999,1995-07-03T19:50:50.620042Z,1995-07-03T19:50:50.620042Z,-29.211,-177.589,35.0,2010,1157,255,4,0,4,0,11,0,6,0,6,1,1,1,1,1,1
81,8.0,1995-07-30T05:11:21.999998,1995-07-30T05:11:23.630031Z,1995-07-30T05:11:23.630031Z,-23.34,-70.294,45.0,2019,3279,25,29,0,24,0,36,1,26,0,26,0,1,1,1,1,1
82,7.7,1995-08-16T10:27:26.999997,1995-08-16T10:27:28.629960Z,1995-08-16T10:27:28.629960Z,-5.799,154.178,30.0,2023,3335,87,7,0,7,0,85,23,23,2,23,2,1,1,1,1,1
83,7.4,1995-09-14T14:04:30.000002,1995-09-14T14:04:31.429974Z,1995-09-14T14:04:31.429974Z,16.779,-98.597,23.0,2029,3301,178,2,0,1,0,15,0,1,0,1,0,-1,-1,-1,-1,2
84,8.0,1995-10-09T15:35:52.000002,1995-10-09T15:35:53.910013Z,1995-10-09T15:35:53.910013Z,19.055,-104.205,33.0,2039,3221,31,4,0,3,0,13,1,4,1,4,1,1,1,1,1,1
85,7.2,1995-11-22T04:15:09.999997,1995-11-22T04:15:11.940021Z,1995-11-22T04:15:11.940021Z,28.826,34.799,10.0,2047,3291,223,6,0,4,0,7,0,4,0,4,0,1,1,1,1,1
86,7.9,1996-01-01T08:05:08.999999,1996-01-01T08:05:10.830021Z,1996-01-01T08:05:10.830021Z,0.729,119.931,24.0,2062,3297,41,5,0,5,0,34,0,8,0,8,0,1,1,1,1,1
87,8.1,1996-02-17T05:59:28.999999,1996-02-17T05:59:30.550039Z,1996-02-17T05:59:30.550039Z,-0.891,136.952,33.0,2070,3298,19,31,0,31,0,52,0,36,0,36,1,1,1,1,1,1
88,7.5,1996-02-21T12:50:59.999999,1996-02-21T12:51:01.300002Z,1996-02-21T12:51:01.300002Z,-9.593,-79.587,10.0,2072,3288,124,2,0,1,0,5,0,2,0,2,0,-1,-1,-1,-1,1
