,c_type,c_type60,depth0,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
137,-1,-1,21.04,9.1788,-84.1234,4.62,1,1,1,1,1,1,1,1,2017-08-18T17:15:12.000015Z
138,-1,-1,27.97,8.5127,-83.2717,4.61,0,0,0,0,0,0,0,0,2018-08-21T03:42:03.999999Z
139,-1,-1,30.66,8.2984,-82.82,4.61,0,0,0,0,0,0,0,0,2015-11-02T10:23:45.999967Z
140,-1,-1,41.85,8.3632,-82.8736,4.61,0,0,0,0,0,0,0,0,2019-06-27T09:30:59.000035Z
141,-1,-1,23.01,8.4889,-82.8413,4.61,1,1,1,1,0,0,0,0,2019-10-02T12:52:52.999999Z
142,-1,-1,20.69,9.3658,-84.5547,4.6,1,1,1,1,0,0,0,0,2021-02-28T00:01:49.000002Z
143,-1,-1,14.16,10.6651,-84.9499,4.6,0,0,0,0,0,0,0,0,2018-01-11T19:57:23.000030Z
144,-1,-1,14.23,9.8947,-83.5161,4.59,2,2,1,1,0,0,0,0,2015-09-26T14:45:02.000043Z
145,-1,-1,41.58,10.3482,-84.9914,4.59,0,0,0,0,0,0,0,0,2019-02-05T11:32:31.999997Z
146,-1,-1,17.69,8.2014,-82.9851,4.59,0,0,0,0,0,0,0,0,2020-09-09T04:31:05.000019Z
147,-1,-1,38.13,8.8771,-84.074,4.58,0,0,0,0,0,0,0,0,2016-11-30T21:50:11.000003Z
148,-1,-1,37.92,8.3004,-82.7986,4.58,0,0,0,0,1,1,0,0,2019-12-31T23:10:25.000033Z
149,-1,-1,19.16,9.5173,-83.7567,4.58,0,0,0,0,0,0,0,0,2014-07-16T22:10:03.999970Z
150,1,1,9.69,9.3418,-84.6097,4.58,11,11,5,5,1,1,0,0,2017-11-13T08:25:54.999948Z
151,-1,-1,48.8,9.4467,-84.1218,4.58,1,1,1,1,0,0,0,0,2016-10-25T22:35:46.000034Z
152,1,1,22.52,8.9085,-82.9059,4.57,1,1,1,1,2,2,1,1,2021-05-17T21:01:59.000018Z
