,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,nf,nf_all,ot0,rate_a,rate_f
64,-999.0,-999,1,1,65,61.0,1.7000000000000002,-999.0,3.0,12.96,144.78,7.7,6,6,0,0,1993-08-08T08:34:22.079997Z,0.23190646439323756,-999.0
65,-999.0,-999,1,1,66,35.0,1.1999999999999993,-999.0,2.0,10.1,-85.31,7.6,4,4,0,0,2012-09-05T14:42:08.639999Z,0.08394244066855801,-999.0
66,-999.0,-999,1,1,67,13.0,1.5,2.0999999999999996,3.0,-3.3,142.95,7.6,10,10,2,2,2002-09-08T18:44:21.119996Z,0.25087303817342294,0.07660281821739204
67,-999.0,-999,1,1,68,26.0,1.7999999999999998,0.8999999999999995,3.0,45.47,151.05,7.6,6,6,13,13,1991-12-22T08:43:09.119997Z,0.13568643768805175,1.0109808069237989
68,-999.0,-999,1,1,69,22.0,1.0,-999.0,3.0,60.95,167.09,7.6,10,10,0,0,2006-04-20T23:25:00.479996Z,0.2988035904245096,-999.0
69,-999.0,-999,1,1,70,28.0,2.0,2.3,2.0,10.81,126.64,7.6,21,21,1,1,2012-08-31T12:47:31.199995Z,0.367591714133074,inf
70,-999.0,-999,0,0,71,33.0,2.3,-999.0,1.0,-22.04,175.16,7.6,2,2,0,0,1990-03-03T12:16:24.959996Z,0.29496349826737306,-999.0
71,-999.0,-999,1,1,72,33.0,1.0999999999999996,2.1999999999999993,0.0,23.77,120.98,7.6,16,16,1,1,1999-09-20T17:47:19.680004Z,0.38243020051369897,inf
72,-999.0,-999,1,1,73,10.0,1.3999999999999995,1.2999999999999998,3.0,9.68,-83.08,7.6,5,5,1,1,1991-04-22T21:56:52.799996Z,0.1471077152112876,inf
73,-999.0,-999,1,1,74,26.0,1.1999999999999993,-999.0,0.0,34.54,73.59,7.6,16,16,0,0,2005-10-08T03:50:41.280004Z,0.36444310815279585,-999.0
74,-999.0,-999,2,2,75,22.6,0.1999999999999993,1.5999999999999996,2.0,-11.27,162.15,7.6,19,19,1,1,2014-04-12T20:14:38.399996Z,0.4749620030407166,inf
75,-999.0,-999,1,1,76,34.0,2.0,2.0999999999999996,0.0,-23.05,-174.66,7.6,6,6,2,2,2009-03-19T18:17:42.719995Z,0.3521870817781985,5.737234652458933
76,-999.0,-999,1,1,77,17.0,1.7999999999999998,2.3999999999999995,3.0,40.75,29.86,7.6,4,4,1,1,1999-08-17T00:01:35.039999Z,0.09907906013583716,inf
77,-999.0,-999,0,0,78,19.7,-999.0,-999.0,1.0,38.11,144.55,7.6,0,0,0,0,2011-03-11T06:25:46.559998Z,-999.0,-999.0
78,-999.0,-999,1,1,79,16.0,1.8999999999999995,-999.0,1.0,23.42,70.23,7.6,3,3,0,0,2001-01-26T03:16:42.239997Z,0.13448693235289336,-999.0
79,-999.0,-999,0,0,80,33.0,2.1999999999999993,-999.0,0.0,-17.54,-72.08,7.6,1,1,0,0,2001-07-07T09:38:44.160005Z,inf,-999.0
80,1.292115813927033,-999,1,1,81,17.0,1.5999999999999996,1.7999999999999998,1.0,-29.54,-176.34,7.6,36,36,3,3,2011-07-06T19:03:21.600010Z,0.7790993611394315,0.09802480027441873
81,-999.0,-999,0,0,82,45.0,-999.0,-999.0,0.0,-13.01,166.51,7.6,0,0,0,0,2009-10-07T22:03:12.960004Z,-999.0,-999.0
82,-999.0,-999,1,1,83,10.0,2.3,-999.0,0.0,-60.53,-43.41,7.6,3,3,0,0,2003-08-04T04:37:20.639996Z,0.3125195324724652,-999.0
83,-999.0,-999,1,1,84,10.0,1.5999999999999996,1.8999999999999995,3.0,11.76,-87.42,7.6,11,11,2,2,1992-09-02T00:15:59.040000Z,0.4805130131660136,2.0650490447539687
84,-999.0,-999,1,1,85,28.0,1.0999999999999996,2.5,3.0,1.16,122.84,7.6,12,12,1,1,1990-04-18T13:39:21.600002Z,0.23019948703880477,inf
85,-999.0,-999,1,1,86,22.0,0.7999999999999998,1.9000000000000004,2.0,1.07,126.28,7.5,26,26,2,2,2007-01-21T11:27:44.639999Z,0.44877028312278255,0.046952875746305106
86,-999.0,-999,0,0,87,10.0,1.9000000000000004,-999.0,0.0,-2.6,68.38,7.5,2,2,0,0,2003-07-15T20:27:53.280004Z,10.351966874793863,-999.0
87,-999.0,-999,1,1,88,35.0,2.0,2.3,1.0,7.88,91.94,7.5,4,4,1,1,2010-06-12T19:26:49.920001Z,0.33212384898222774,inf
88,-999.0,-999,1,1,89,10.0,1.4000000000000004,-999.0,0.0,-55.28,-31.88,7.5,11,11,0,0,2016-08-19T07:32:26.880002Z,1.0068373408508118,-999.0
89,-999.0,-999,1,1,90,31.0,1.7000000000000002,-999.0,3.0,6.03,124.25,7.5,6,6,0,0,2002-03-05T21:16:07.679996Z,0.10196382323561383,-999.0
90,0.9216538844249065,-999,2,2,91,41.0,0.0,1.7999999999999998,2.0,-4.73,152.56,7.5,33,33,1,1,2015-03-29T23:48:28.800007Z,0.6191299910324762,inf
91,-999.0,-999,0,0,92,55.0,1.5,2.0,1.0,-5.46,151.88,7.5,5,5,1,1,2015-05-05T01:44:06.720000Z,0.09465287006423498,inf
92,-999.0,-999,0,0,93,33.0,-999.0,1.9000000000000004,1.0,-9.62,-79.57,7.5,0,0,1,1,1996-02-21T12:51:07.200000Z,-999.0,inf
93,-999.0,-999,1,1,94,20.0,1.4000000000000004,-999.0,3.0,16.5,-98.22,7.5,4,4,0,0,2012-03-20T18:02:44.160003Z,0.18412391539496614,-999.0
94,-999.0,-999,0,0,95,4.7,1.5999999999999996,-999.0,1.0,14.1,92.89,7.5,1,1,0,0,2009-08-10T19:55:37.920003Z,inf,-999.0
95,-999.0,-999,1,1,96,24.0,1.5999999999999996,-999.0,1.0,18.77,-104.1,7.5,3,3,0,0,2003-01-22T02:06:34.560004Z,0.11822566915724317,-999.0
96,-999.0,-999,1,1,97,33.0,0.9000000000000004,0.5999999999999996,3.0,1.17,122.76,7.5,4,4,2,2,1991-06-20T05:18:48.960003Z,0.08203512744139091,0.3397546971104829
97,-999.0,-999,0,0,98,10.0,1.5999999999999996,-999.0,3.0,55.39,-134.65,7.5,2,2,0,0,2013-01-05T08:58:16.319995Z,0.11911710402546116,-999.0
98,-999.0,-999,0,0,99,33.0,2.2,-999.0,3.0,35.07,87.32,7.5,1,1,0,0,1997-11-08T10:02:55.680003Z,inf,-999.0
99,-999.0,-999,1,1,100,26.0,1.7999999999999998,-999.0,1.0,-1.11,123.57,7.5,4,4,0,0,2000-05-04T04:21:12.960000Z,0.34425481741869884,-999.0
100,-999.0,-999,1,1,101,10.0,2.0999999999999996,1.9000000000000004,0.0,-8.15,124.87,7.5,10,10,1,1,2004-11-11T21:26:38.400001Z,0.25419808131327704,inf
101,-999.0,-999,2,2,102,43.4,1.2999999999999998,0.40000000000000036,3.0,-6.76,155.02,7.5,24,24,15,15,2014-04-19T13:27:59.040004Z,0.44507661808608,0.31762299421069257
102,-999.0,-999,1,1,103,10.0,1.5999999999999996,1.0999999999999996,0.0,-1.76,134.3,7.5,3,3,9,9,2002-10-10T10:50:18.240003Z,3.2185387830720407,0.2461915534407869
103,-999.0,-999,1,1,104,33.0,1.8000000000000007,-999.0,1.0,-4.1,123.91,7.4,3,3,0,0,2001-10-19T03:28:48.000002Z,1.588141874035599,-999.0
104,-999.0,-999,0,0,105,23.0,-999.0,-999.0,1.0,-0.69,133.3,7.4,0,0,0,0,2009-01-03T22:33:35.999995Z,-999.0,-999.0
105,-999.0,-999,1,1,106,33.0,1.8000000000000007,2.2,0.0,-28.99,-176.24,7.4,6,6,2,2,2011-10-21T17:57:15.839997Z,0.10375453061468096,0.2193776256784404
106,-999.0,-999,1,1,107,33.0,0.6000000000000005,1.8000000000000007,1.0,6.9,126.58,7.4,7,7,2,2,2001-01-01T06:57:01.440002Z,0.120630795663484,0.038274948089607796
107,-999.0,-999,1,1,108,36.0,2.3000000000000007,2.0,3.0,46.86,155.15,7.4,1,1,3,3,2009-01-15T17:49:37.920001Z,inf,0.09813574790925732
108,-999.0,-999,0,0,109,60.6,-999.0,-999.0,1.0,16.06,-96.93,7.4,0,0,0,0,1999-09-30T16:31:17.759999Z,-999.0,-999.0
109,-999.0,-999,1,1,110,24.0,1.0,1.9000000000000004,0.0,13.96,-91.85,7.4,11,11,2,2,2012-11-07T16:35:45.599996Z,0.2092511851226642,0.23042802004805368
110,-999.0,-999,0,0,111,31.1,-999.0,-999.0,0.0,-13.09,166.5,7.4,0,0,0,0,2009-10-07T23:13:46.560004Z,-999.0,-999.0
111,-999.0,-999,0,0,112,10.0,-999.0,-999.0,2.0,-60.93,-21.58,7.4,0,0,0,0,2006-01-02T06:10:47.999996Z,-999.0,-999.0
112,-999.0,-999,1,1,113,33.0,2.2,-999.0,2.0,22.31,125.31,7.4,3,3,0,0,1998-05-03T23:30:20.159996Z,0.15446321458478282,-999.0
113,-999.0,-999,1,1,114,10.0,1.7000000000000002,-999.0,1.0,36.96,49.41,7.4,3,3,0,0,1990-06-20T21:00:08.639995Z,0.1943080689660074,-999.0
114,-999.0,-999,1,1,115,32.0,1.2000000000000002,1.8000000000000007,3.0,15.23,147.53,7.4,3,3,2,2,1990-04-05T21:12:40.319996Z,0.05938524395455742,8.972633470532106
