,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
49,948,55,2011,15.0,26.97,65.52,7.8,4,4,4,13,10,0,0,0,0,0,2013-09-24T11:29:45.600004Z,2013-09-24T11:29:45.600004Z,2013-09-24T11:29:43.999997,1,1,1,1,1
50,1025,105,945,10.0,-2.6,68.38,7.5,2,2,2,5,7,0,0,0,0,0,2003-07-15T20:27:53.280004Z,2003-07-15T20:27:53.280004Z,2003-07-15T20:27:51.999997,-1,-1,-1,1,1
51,1321,62,126,35.0,-8.51,121.89,7.7,4,4,4,17,8,1,1,0,1,0,1992-12-12T05:29:28.320003Z,1992-12-12T05:29:28.320003Z,1992-12-12T05:29:27.000001,1,1,1,1,1
52,995,16,2061,25.0,-19.61,-70.77,8.1,24,24,23,60,46,14,14,13,17,13,2014-04-01T23:46:45.120003Z,2014-04-01T23:46:45.120003Z,2014-04-01T23:46:44.000003,2,2,2,2,2
53,1371,3,1640,44.0,-35.85,-72.71,8.8,74,72,67,408,169,1,2,0,188,0,2010-02-27T06:34:16.319997Z,2010-02-27T06:34:16.319997Z,2010-02-27T06:34:15.000002,1,1,1,5,1
54,1317,24,731,33.0,-3.98,152.17,8.0,52,53,20,248,42,2,2,0,137,0,2000-11-16T04:54:54.719996Z,2000-11-16T04:54:54.719996Z,2000-11-16T04:54:53.000003,3,3,1,4,1
55,1238,58,1519,17.0,-0.41,132.88,7.7,13,13,13,31,24,0,0,0,0,0,2009-01-03T19:43:49.439999Z,2009-01-03T19:43:49.439999Z,2009-01-03T19:43:47.999997,2,2,2,2,2
56,1115,103,354,33.0,-9.62,-79.57,7.5,0,0,0,3,3,0,1,0,0,0,1996-02-21T12:51:07.200000Z,1996-02-21T12:51:07.200000Z,1996-02-21T12:51:06.000002,-1,-1,-1,1,1
57,1300,28,359,33.0,51.56,-177.63,7.9,10,10,9,75,37,4,4,2,9,2,1996-06-10T04:03:38.880000Z,1996-06-10T04:03:38.880000Z,1996-06-10T04:03:37.000003,1,1,1,1,1
58,978,43,2323,15.0,-42.74,173.05,7.8,13,13,13,13,13,0,0,0,0,0,2016-11-13T11:02:58.559998Z,2016-11-13T11:02:58.559998Z,2016-11-13T11:02:56.999997,1,1,1,1,1
59,1345,27,1441,19.0,31.0,103.32,7.9,11,11,11,26,16,0,0,0,0,0,2008-05-12T06:28:04.800005Z,2008-05-12T06:28:04.800005Z,2008-05-12T06:28:02.999998,1,1,1,1,1
60,901,81,2495,20.0,-0.25,119.84,7.6,3,3,3,4,3,2,2,2,3,2,2018-09-28T10:02:47.039998Z,2018-09-28T10:02:47.039998Z,2018-09-28T10:02:46.000002,1,1,1,1,1
61,1308,80,1161,26.0,34.54,73.59,7.6,14,14,14,17,17,0,0,0,0,0,2005-10-08T03:50:41.280004Z,2005-10-08T03:50:41.280004Z,2005-10-08T03:50:40.000002,1,1,1,1,1
62,586,93,477,33.0,35.07,87.32,7.5,1,1,1,2,1,0,0,0,0,0,1997-11-08T10:02:55.680003Z,1997-11-08T10:02:55.680003Z,1997-11-08T10:02:54.000000,-1,-1,-1,-1,-1
