,Cid_G,Cid_M,Cid_Z,Cid_Zb,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_Zb,N_AS_allG,N_AS_allZ,N_AS_allZb,N_FS_G,N_FS_M,N_FS_Z,N_FS_Zb,N_FS_allG,N_FS_allZ,N_FS_allZb,T0G,T0M,T0Z,T0Zb,c_typeG,c_typeM,c_typeZ,c_typeZb,c_typeallG,c_typeallZ,c_typeallZb
181,5897,71,3842,5982,60.0,13.049000000000001,-88.66,7.7,15,16,18,16,21,60,18,0,3,0,4,2,0,36,2001-01-13T17:33:32.379955Z,2001-01-13T17:33:32.379955Z,2001-01-13T17:33:31.000002,2001-01-13T17:33:31.000002,1,1,1,1,1,1,1
182,2599,376,966,1577,16.0,-6.526,152.779,7.0,10,10,13,10,10,15,10,0,0,0,3,0,0,3,1988-07-23T15:17:08.179949Z,1988-07-23T15:17:08.179949Z,1988-07-23T15:17:07.000003,1988-07-23T15:17:07.000003,1,1,1,1,1,1,1
183,4976,121,8620,9784,25.0,-6.07,142.754,7.5,129,134,133,116,135,140,116,0,0,0,0,0,0,1,2018-02-25T17:44:44.140051Z,2018-02-25T17:44:44.140051Z,2018-02-25T17:44:42.999997,2018-02-25T17:44:42.999997,1,1,1,1,1,1,1
184,1090,280,584,428,67.0,-5.577000000000001,130.791,7.1,0,1,2,0,0,14,3,0,0,0,4,2,3,10,1987-06-17T01:32:53.719989Z,1987-06-17T01:32:53.719989Z,1987-06-17T01:32:51.999997,1987-06-17T01:32:51.999997,0,0,0,1,0,1,1
185,4643,362,589,1094,47.0,-60.063,-26.916,7.0,12,13,14,23,18,32,25,0,1,0,5,1,0,15,1987-01-30T22:29:42.089968Z,1987-01-30T22:29:42.089968Z,1987-01-30T22:29:41.000003,1987-01-30T22:29:41.000003,1,1,1,1,1,1,1
186,6892,111,2834,2690,10.0,-9.593,-79.587,7.5,3,6,6,5,4,14,5,0,1,0,1,0,0,4,1996-02-21T12:51:01.300002Z,1996-02-21T12:51:01.300002Z,1996-02-21T12:50:59.999999,1996-02-21T12:50:59.999999,1,1,1,1,1,1,1
187,7028,63,1380,4073,33.0,-14.993,-75.675,7.7,22,24,24,22,23,37,22,0,1,0,2,0,2,17,1996-11-12T16:59:44.029963Z,1996-11-12T16:59:44.029963Z,1996-11-12T16:59:43.000002,1996-11-12T16:59:43.000002,1,1,1,1,1,1,1
188,6774,189,1887,2944,10.0,-56.032,-25.266,7.2,5,13,15,6,5,20,6,0,0,0,3,0,0,10,1991-12-27T04:05:58.239997Z,1991-12-27T04:05:58.239997Z,1991-12-27T04:05:56.999999,1991-12-27T04:05:56.999999,1,1,1,1,1,1,1
189,4185,31,8594,13962,14.0,56.004,-149.166,7.9,12,18,18,15,13,25,15,0,0,0,0,0,0,0,2018-01-23T09:31:40.890031Z,2018-01-23T09:31:40.890031Z,2018-01-23T09:31:39.000002,2018-01-23T09:31:39.000002,1,1,1,1,1,1,1
190,2252,184,6137,4666,19.0,16.730999999999998,-86.21700000000001,7.3,0,6,6,3,0,9,3,0,0,0,0,1,0,2,2009-05-28T08:24:46.560015Z,2009-05-28T08:24:46.560015Z,2009-05-28T08:24:45.000002,2009-05-28T08:24:45.000002,0,1,1,1,0,1,1
191,5501,82,3403,3361,33.0,-2.0709999999999997,124.891,7.7,6,11,9,6,6,17,6,0,5,0,3,1,0,10,1998-11-29T14:10:31.959983Z,1998-11-29T14:10:31.959983Z,1998-11-29T14:10:30.000003,1998-11-29T14:10:30.000003,1,1,1,1,1,1,1
192,5003,107,1351,2198,24.0,8.337,126.729,7.6,69,98,100,76,78,147,78,1,15,0,17,4,0,34,1989-12-15T18:43:45.030028Z,1989-12-15T18:43:45.030028Z,1989-12-15T18:43:44.000003,1989-12-15T18:43:44.000003,1,1,1,1,1,1,1
193,5339,127,3184,4997,33.0,35.069,87.325,7.5,2,6,6,4,2,7,4,0,0,0,0,0,0,0,1997-11-08T10:02:52.610034Z,1997-11-08T10:02:52.610034Z,1997-11-08T10:02:51.000003,1997-11-08T10:02:51.000003,0,1,1,1,0,1,1
194,6120,60,4016,4096,10.0,35.946,90.541,7.8,2,18,20,16,2,24,16,0,0,0,0,1,0,2,2001-11-14T09:26:10.010002Z,2001-11-14T09:26:10.010002Z,2001-11-14T09:26:08.999998,2001-11-14T09:26:08.999998,0,1,1,1,1,1,1
195,1120,374,3988,6028,37.0,12.686,144.98,7.0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2001-10-12T15:02:16.839974Z,2001-10-12T15:02:16.839974Z,2001-10-12T15:02:15.000001,2001-10-12T15:02:15.000001,0,0,0,0,0,0,0
196,5895,89,3981,6476,13.0,-3.302,142.945,7.6,45,48,54,40,53,69,40,2,5,0,5,16,7,29,2002-09-08T18:44:23.710014Z,2002-09-08T18:44:23.710014Z,2002-09-08T18:44:22.000002,2002-09-08T18:44:22.000002,1,1,1,1,1,1,1
197,7234,56,2470,3834,18.0,-10.477,112.835,7.8,109,132,133,111,113,147,111,0,7,0,10,2,0,15,1994-06-02T18:17:34.020032Z,1994-06-02T18:17:34.020032Z,1994-06-02T18:17:32.999999,1994-06-02T18:17:32.999999,1,1,1,1,1,1,1
198,6062,62,7874,12916,8.0,28.23,84.73100000000001,7.8,9,55,56,53,9,64,53,0,1,0,1,0,0,9,2015-04-25T06:11:25.949981Z,2015-04-25T06:11:25.949981Z,2015-04-25T06:11:24.000001,2015-04-25T06:11:24.000001,1,1,1,1,1,1,1
199,6911,39,2811,2677,24.0,0.7290000000000001,119.931,7.9,16,18,18,14,47,74,47,0,7,0,9,0,0,21,1996-01-01T08:05:10.830021Z,1996-01-01T08:05:10.830021Z,1996-01-01T08:05:08.999999,1996-01-01T08:05:08.999999,1,1,1,1,1,1,1
200,4364,30,48,114,33.0,-33.135,-71.87100000000001,8.0,49,80,81,75,65,188,75,13,21,14,21,13,14,21,1985-03-03T22:47:07.280014Z,1985-03-03T22:47:07.280014Z,1985-03-03T22:47:06.000004,1985-03-03T22:47:06.000004,1,1,1,1,1,1,1
201,6082,174,4525,6944,10.0,-22.015,169.766,7.3,69,72,69,54,81,85,54,21,23,21,21,24,21,23,2003-12-27T16:00:59.449966Z,2003-12-27T16:00:59.449966Z,2003-12-27T16:00:57.999997,2003-12-27T16:00:57.999997,0,0,0,0,0,0,0
202,6093,248,4031,6251,10.0,-42.813,124.68799999999999,7.1,3,4,4,4,3,4,4,0,0,0,0,0,0,0,2001-12-12T14:02:35.040019Z,2001-12-12T14:02:35.040019Z,2001-12-12T14:02:33.999999,2001-12-12T14:02:33.999999,1,1,1,1,1,1,1
203,4230,80,1503,2415,25.0,15.679,121.17200000000001,7.7,79,93,94,76,84,106,76,1,4,0,1,2,0,5,1990-07-16T07:26:34.610006Z,1990-07-16T07:26:34.610006Z,1990-07-16T07:26:32.999997,1990-07-16T07:26:32.999997,1,1,1,1,1,1,1
204,4009,332,6561,5764,26.0,-4.963,133.76,7.0,6,6,6,5,10,8,5,2,2,2,2,4,2,5,2010-09-29T17:11:25.940027Z,2010-09-29T17:11:25.940027Z,2010-09-29T17:11:23.999997,2010-09-29T17:11:23.999997,1,1,1,1,0,1,1
205,5084,331,3585,5524,10.0,-1.339,88.976,7.0,6,6,6,5,7,7,6,0,0,0,0,0,0,0,1999-11-15T05:42:43.219957Z,1999-11-15T05:42:43.219957Z,1999-11-15T05:42:41.999997,1999-11-15T05:42:41.999997,1,1,1,1,1,1,1
206,6679,42,6175,9841,12.0,-45.762,166.562,7.8,43,47,47,41,47,57,41,0,0,0,0,0,0,29,2009-07-15T09:22:29.029989Z,2009-07-15T09:22:29.029989Z,2009-07-15T09:22:28.000000,2009-07-15T09:22:28.000000,1,1,1,1,1,1,1
207,6856,25,5132,8097,55.0,-20.187,-174.123,8.0,78,97,75,35,92,98,35,3,28,0,3,22,0,25,2006-05-03T15:26:40.290002Z,2006-05-03T15:26:40.290002Z,2006-05-03T15:26:38.999997,2006-05-03T15:26:38.999997,1,1,1,1,1,1,1
208,4838,139,7052,2811,20.0,16.493,-98.23100000000001,7.4,20,23,24,17,25,38,17,0,0,0,2,3,0,16,2012-03-20T18:02:47.439999Z,2012-03-20T18:02:47.439999Z,2012-03-20T18:02:45.999999,2012-03-20T18:02:45.999999,1,1,1,1,1,1,1
209,6512,51,57,2301,25.0,1.186,122.85700000000001,7.8,54,58,60,44,99,201,99,0,3,0,2,1,4,41,1990-04-18T13:39:19.009983Z,1990-04-18T13:39:19.009983Z,1990-04-18T13:39:18.000000,1990-04-18T13:39:18.000000,1,1,1,1,2,2,2
210,5336,238,423,778,10.0,-0.046,-17.826,7.1,3,4,5,3,3,12,3,0,1,0,2,1,9,13,2016-08-29T04:29:57.859949Z,2016-08-29T04:29:57.859949Z,2016-08-29T04:29:56.000002,2016-08-29T04:29:56.000002,1,1,1,1,1,1,1
211,5451,110,3781,5941,33.0,6.898,126.579,7.5,15,24,29,24,15,40,24,0,3,0,5,3,3,21,2001-01-01T06:57:04.169981Z,2001-01-01T06:57:04.169981Z,2001-01-01T06:57:02.999998,2001-01-01T06:57:02.999998,1,1,1,1,1,1,1
212,5147,345,3788,5849,50.0,-4.766,153.945,7.0,2,0,5,0,2,7,1,0,0,1,0,0,1,0,2000-10-29T08:37:08.769970Z,2000-10-29T08:37:08.769970Z,2000-10-29T08:37:06.999998,2000-10-29T08:46:25.999997,0,0,1,0,0,1,0
213,7261,228,2488,3169,33.0,-16.62,167.518,7.2,48,53,49,24,62,49,24,1,3,1,2,21,1,4,1994-07-13T02:35:56.020043Z,1994-07-13T02:35:56.020043Z,1994-07-13T02:35:55.000003,1994-07-13T02:35:55.000003,1,1,1,1,1,1,1
214,6605,170,6505,6308,35.0,-5.931,150.59,7.3,23,40,38,27,54,64,27,3,5,2,13,5,2,36,2010-07-18T13:34:59.360014Z,2010-07-18T13:34:59.360014Z,2010-07-18T13:34:58.000003,2010-07-18T13:34:58.000003,3,3,3,0,3,3,0
215,5157,28,3803,5871,33.0,-3.98,152.16899999999998,8.0,3,271,52,34,3,101,38,0,9,0,1,0,0,20,2000-11-16T04:54:56.740031Z,2000-11-16T04:54:56.740031Z,2000-11-16T04:54:55.000001,2000-11-16T04:54:55.000001,1,3,1,1,1,1,1
216,6026,113,4076,2012,31.0,6.0329999999999995,124.249,7.5,9,14,18,11,9,24,11,0,0,0,0,0,0,13,2002-03-05T21:16:09.129968Z,2002-03-05T21:16:09.129968Z,2002-03-05T21:16:08.000002,2002-03-05T21:16:08.000002,1,1,1,1,1,1,1
217,6628,209,8615,6404,22.0,16.386,-97.979,7.2,4,7,7,4,4,11,4,0,1,0,3,4,0,17,2018-02-16T23:39:39.279967Z,2018-02-16T23:39:39.279967Z,2018-02-16T23:39:37.999999,2018-02-16T23:39:37.999999,1,1,1,1,1,1,1
218,6327,49,2144,3328,27.0,-8.48,121.896,7.8,39,48,53,34,42,82,34,0,2,1,6,0,1,21,1992-12-12T05:29:26.349998Z,1992-12-12T05:29:26.349998Z,1992-12-12T05:29:25.000002,1992-12-12T05:29:25.000002,1,1,1,1,1,1,1
219,6584,169,6521,10452,25.0,-17.541,168.06900000000002,7.3,34,40,38,32,40,46,35,0,4,0,0,28,0,5,2010-08-10T05:23:44.979963Z,2010-08-10T05:23:44.979963Z,2010-08-10T05:23:43.000000,2010-08-10T05:23:43.000000,1,1,1,1,1,1,1
220,7156,11,7575,12569,25.0,-19.61,-70.76899999999999,8.2,96,101,104,86,115,177,92,37,40,39,45,44,39,112,2014-04-01T23:46:47.260043Z,2014-04-01T23:46:47.260043Z,2014-04-01T23:46:46.000001,2014-04-01T23:46:46.000001,1,1,1,1,1,1,1
221,6984,150,8216,13451,10.0,-55.285,-31.877,7.4,75,77,78,75,78,85,75,0,0,0,2,0,0,3,2016-08-19T07:32:22.709988Z,2016-08-19T07:32:22.709988Z,2016-08-19T07:32:21.000001,2016-08-19T07:32:21.000001,1,1,1,1,1,1,1
222,7414,53,2605,58,26.0,40.525,143.41899999999998,7.8,52,71,69,30,72,118,30,0,1,0,2,9,0,26,1994-12-28T12:19:23.029972Z,1994-12-28T12:19:23.029972Z,1994-12-28T12:19:22.000000,1994-12-28T12:19:22.000000,1,1,1,1,1,1,1
223,1313,44,8091,13232,24.0,-4.952,94.33,7.8,2,5,5,4,2,5,4,0,0,0,0,0,0,0,2016-03-02T12:49:48.110044Z,2016-03-02T12:49:48.110044Z,2016-03-02T12:49:46.999997,2016-03-02T12:49:46.999997,0,1,1,1,0,1,1
224,7450,8,5239,8490,10.0,46.592,153.266,8.3,266,290,287,281,338,453,287,51,54,43,37,57,43,164,2006-11-15T11:14:13.570017Z,2006-11-15T11:14:13.570017Z,2006-11-15T11:14:11.999999,2006-11-15T11:14:11.999999,2,2,2,2,2,2,2
