,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
92,1971,154,5181,10.0,-33.293,-177.857,7.4,12,12,12,26,14,4,1,0,70,0,2020-06-18T12:49:53.843981Z,2020-06-18T12:49:53.843981Z,2020-06-18T12:49:51.999999,1,1,1,2,1
93,2681,42,1524,33.0,51.146,178.65,7.8,23,23,23,163,44,1,1,0,16,7,2003-11-17T06:43:06.800021Z,2003-11-17T06:43:06.800021Z,2003-11-17T06:43:05.000000,1,1,1,1,1
94,2447,103,4068,28.0,10.811,126.63799999999999,7.6,33,33,33,116,46,0,1,0,11,0,2012-08-31T12:47:33.379957Z,2012-08-31T12:47:33.379957Z,2012-08-31T12:47:32.000001,1,1,1,1,1
95,1974,205,5038,18.0,-0.586,128.034,7.2,10,10,12,15,17,0,1,10,0,11,2019-07-14T09:10:51.522960Z,2019-07-14T09:10:51.522960Z,2019-07-14T09:10:49.999999,1,1,2,1,2
96,2632,21,623,10.0,-52.341,160.56799999999998,8.0,24,24,23,40,33,0,1,0,0,0,1989-05-23T10:54:46.320021Z,1989-05-23T10:54:46.320021Z,1989-05-23T10:54:45.000001,1,1,1,1,1
97,2426,30,112,27.0,18.19,-102.53299999999999,8.0,5,5,5,42,26,0,0,0,0,0,1985-09-19T13:17:47.350031Z,1985-09-19T13:17:47.350031Z,1985-09-19T13:17:45.999999,2,2,2,2,5
98,1999,91,4076,35.0,10.085,-85.315,7.6,7,5,5,68,12,6,1,0,6,0,2012-09-05T14:42:07.800012Z,2012-09-05T14:42:07.800012Z,2012-09-05T14:42:06.000003,2,1,1,5,1
99,2660,175,3469,19.0,16.730999999999998,-86.21700000000001,7.3,5,5,5,9,9,0,0,0,0,0,2009-05-28T08:24:46.560015Z,2009-05-28T08:24:46.560015Z,2009-05-28T08:24:45.000002,1,1,1,1,1
100,2342,41,2345,4.0,63.513999999999996,-147.453,7.9,19,19,18,30,19,1,1,1,2,1,2002-11-03T22:12:41.517964Z,2002-11-03T22:12:41.517964Z,2002-11-03T22:12:39.999998,1,1,1,1,1
101,2380,64,2124,16.0,23.419,70.232,7.7,9,9,9,10,12,0,0,0,0,0,2001-01-26T03:16:40.499985Z,2001-01-26T03:16:40.499985Z,2001-01-26T03:16:38.999998,1,1,1,1,1
102,2351,67,1650,33.0,-12.584000000000001,166.676,7.7,35,35,3,238,4,1,4,0,4,0,1997-04-21T12:02:26.430035Z,1997-04-21T12:02:26.430035Z,1997-04-21T12:02:25.000002,1,1,1,5,1
103,2164,177,1656,10.0,33.825,59.809,7.3,4,4,4,5,4,0,0,0,0,0,1997-05-10T07:57:29.719949Z,1997-05-10T07:57:29.719949Z,1997-05-10T07:57:27.999997,1,1,1,1,1
104,2135,104,2833,22.0,60.949,167.08900000000003,7.6,28,28,28,35,35,0,0,0,0,0,2006-04-20T23:25:02.150033Z,2006-04-20T23:25:02.150033Z,2006-04-20T23:25:00.999997,1,1,1,1,1
105,2261,84,1433,20.0,-23.008000000000003,169.9,7.7,34,34,30,89,39,3,3,0,33,0,1995-05-16T20:12:44.219988Z,1995-05-16T20:12:44.219988Z,1995-05-16T20:12:43.000003,1,1,1,1,1
