,m0,lat0,lon0,depth0,ot0,nf,na,nf_all,na_all,c_type,c_type60,na_apr,nf_apr,na_all_apr,nf_all_apr
105,5.7,52.0314,-171.8945,42.9,2011-09-19T08:14:12.480000Z,0,3,0,3,-1,-1,0,0,0,0
106,5.7,55.8758,-156.9924,35.0,2021-07-29T06:23:02.399995Z,0,0,0,0,-1,-1,0,0,0,0
107,5.7,52.2303,-169.3431,31.0,2015-07-27T07:43:32.159998Z,0,0,0,0,-1,-1,0,0,0,0
108,5.7,53.42,-163.6973,10.43,2020-08-13T06:40:01.920003Z,0,0,0,0,-1,-1,0,0,0,0
109,5.6,51.7927,-176.0618,55.3,2010-07-14T11:01:23.519999Z,0,0,0,0,-1,-1,0,0,0,0
110,5.6,54.9488,-160.307,41.96,2020-07-29T09:12:14.400000Z,0,0,0,0,-1,-1,0,0,0,0
111,5.6,51.5002,-172.9113,16.0,2015-11-08T10:46:16.320001Z,0,0,0,0,-1,-1,0,0,0,0
112,5.6,55.071,-156.4993,36.8,2021-09-16T17:51:56.159997Z,0,0,0,0,-1,-1,0,0,0,0
113,5.6,51.217,-179.1841,41.0,2014-01-16T07:33:10.079999Z,0,2,0,2,-1,-1,2,0,2,0
114,5.6,56.5717,-149.1439,4.9,2018-01-23T11:47:02.400003Z,0,0,0,0,-1,-1,0,0,0,0
115,5.6,54.8444,-159.8598,30.42,2020-10-06T05:54:48.959995Z,0,0,0,0,-1,-1,0,0,0,0
116,5.6,51.8902,-169.6829,17.0,2020-09-27T04:12:17.280005Z,1,12,1,12,0,0,6,0,6,0
117,5.6,51.1865,-176.3772,17.0,2017-04-04T22:08:41.280000Z,9,14,9,14,1,1,3,1,3,1
118,5.6,51.2333,-176.1097,49.0,2010-12-25T19:42:31.680001Z,27,24,27,24,4,4,12,21,12,21
119,5.6,52.676,-169.4217,20.3,2010-07-28T11:31:46.560000Z,0,6,0,6,4,4,0,0,0,0
120,5.6,51.4497,-173.9725,12.71,2016-03-12T13:23:39.840002Z,0,0,0,0,-1,-1,0,0,0,0
121,5.6,51.1151,-179.8571,42.9,2013-07-07T20:18:05.759996Z,2,1,2,1,1,1,0,2,0,2
122,5.6,54.2607,-159.6234,8.52,2020-10-20T04:07:06.240000Z,0,0,0,0,-1,-1,0,0,0,0
123,5.6,52.4393,-169.6579,40.0,2015-07-27T07:41:05.279996Z,0,0,0,0,-1,-1,0,0,0,0
124,5.6,51.5902,-178.0663,51.6,2013-04-21T13:48:25.920002Z,5,2,5,2,1,1,0,2,0,2
125,5.6,54.4223,-160.7673,29.65,2018-07-18T19:06:05.760002Z,0,0,0,0,-1,-1,0,0,0,0
126,5.6,54.9255,-158.7303,25.0,2021-10-31T16:37:46.560002Z,0,1,0,1,-1,-1,0,0,0,0
127,5.6,51.7804,-175.256,45.6,2015-08-15T20:16:22.080001Z,1,4,1,4,1,1,1,1,1,1
128,5.5,56.2957,-148.4332,6.0,2018-05-08T08:14:12.480000Z,21,16,21,16,1,1,4,3,4,3
129,5.5,51.0327,-179.9238,13.01,2020-01-26T03:57:18.720002Z,0,0,0,0,-1,-1,0,0,0,0
130,5.5,51.371,-174.3382,20.0,2015-09-05T07:00:02.879995Z,6,43,6,43,2,2,24,4,24,4
131,5.5,52.1031,-171.0959,28.11,2018-08-25T16:50:00.960002Z,0,1,0,1,-1,-1,1,0,1,0
132,5.5,54.7101,-161.1003,32.81,2020-08-08T14:42:51.839996Z,0,0,0,0,-1,-1,0,0,0,0
133,5.5,51.37,-174.34,20.0,2015-09-05T07:00:02.879995Z,0,0,0,0,-1,-1,0,0,0,0
134,5.5,52.52,-163.6379,17.3,2010-05-03T14:04:16.319997Z,0,3,0,3,1,1,1,0,1,0
135,5.5,51.1367,-179.0326,18.0,2021-09-24T07:02:29.759997Z,0,0,0,0,-1,-1,0,0,0,0
136,5.5,51.015,-177.0073,17.0,2017-05-08T15:31:23.519999Z,0,0,0,0,-1,-1,0,0,0,0
137,5.5,52.1729,-173.3643,58.17,2017-03-01T10:39:47.519998Z,2,0,2,0,-1,-1,0,1,0,1
138,5.5,52.74,-168.2654,34.0,2020-11-30T04:59:05.280002Z,0,0,0,0,-1,-1,0,0,0,0
