,c_type,c_type60,depth0,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0
119,-1,-1,33.0,1.0,22.31,125.31,7.4,2,2,0,0,0,0,0,0,1998-05-03T23:30:20.159996Z
120,1,1,24.0,1.0,13.96,-91.85,7.4,9,9,5,5,2,2,2,2,2012-11-07T16:35:45.599996Z
121,-1,-1,31.1,1.0,-13.09,166.5,7.4,0,0,0,0,0,0,0,0,2009-10-07T23:13:46.560004Z
122,-1,-1,10.0,0.0,-60.93,-21.58,7.4,0,0,0,0,1,1,1,1,2006-01-02T06:10:47.999996Z
123,-1,-1,60.6,2.0,16.06,-96.93,7.4,0,0,0,0,0,0,0,0,1999-09-30T16:31:17.759999Z
124,1,1,10.0,3.0,-49.27,164.12,7.4,3,3,2,2,0,0,0,0,2007-09-30T05:23:34.080002Z
125,1,1,33.0,3.0,6.9,126.58,7.4,6,6,5,5,2,2,1,1,2001-01-01T06:57:01.440002Z
126,-1,-1,33.0,1.0,-28.99,-176.24,7.4,0,0,0,0,0,0,0,0,2011-10-21T17:57:15.839997Z
127,-1,-1,39.0,0.0,-11.46,162.05,7.4,0,0,0,0,0,0,0,0,2014-04-13T12:36:17.280003Z
128,-1,-1,30.0,3.0,1.27,122.09,7.3,0,0,0,0,0,0,0,0,2008-11-16T17:02:32.640002Z
129,1,1,33.0,0.0,-10.49,160.77,7.3,1,1,0,0,2,2,1,1,2003-01-20T08:43:09.119997Z
130,-1,-1,33.0,3.0,41.77,143.59,7.3,0,0,0,0,0,0,0,0,2003-09-25T21:08:03.840003Z
131,-1,-1,38.0,1.0,3.75,96.02,7.3,0,0,0,0,0,0,0,0,2010-05-09T05:59:42.719999Z
132,5,5,10.0,3.0,-22.01,169.77,7.3,19,19,18,18,8,8,7,7,2003-12-27T16:01:03.360003Z
133,2,2,16.0,0.0,-19.7,167.94,7.3,16,16,12,12,1,1,1,1,2010-12-25T13:16:36.479997Z
134,1,1,28.0,1.0,12.14,-88.59,7.3,4,4,3,3,1,1,1,1,2012-08-27T04:37:20.639996Z
135,1,1,16.0,2.0,50.04,87.81,7.3,3,3,2,2,0,0,0,0,2003-09-27T11:33:21.599999Z
136,0,0,10.0,0.0,-4.0,135.02,7.3,7,7,6,6,2,2,2,2,2004-02-07T02:42:34.559996Z
137,-1,-1,23.0,1.0,43.9,147.9,7.3,0,0,0,0,0,0,0,0,1994-10-09T07:55:37.920003Z
138,1,1,46.0,3.0,-30.64,-178.1,7.3,21,21,16,16,1,1,1,1,2019-06-15T22:55:03.360001Z
139,-1,-1,11.0,1.0,-60.86,-25.07,7.3,0,0,0,0,0,0,0,0,2013-07-15T14:03:41.759995Z
140,1,1,26.0,2.0,2.77,95.96,7.3,2,2,2,2,1,1,1,1,2008-02-20T08:08:26.880004Z
141,1,1,5.0,2.0,34.18,-116.51,7.3,4,4,4,4,0,0,0,0,1992-06-28T11:57:33.119998Z
142,1,1,25.0,0.0,-17.54,168.07,7.3,8,8,5,5,0,0,0,0,2010-08-10T05:23:42.719997Z
143,3,3,35.0,3.0,-5.93,150.59,7.3,10,10,8,8,3,3,3,3,2010-07-18T13:35:02.399999Z
144,-1,-1,21.0,1.0,16.84,-98.6,7.3,1,1,1,1,0,0,0,0,1995-09-14T14:04:33.599998Z
145,-1,-1,36.0,0.0,-4.68,102.56,7.3,0,0,0,0,0,0,0,0,2001-02-13T19:28:33.599996Z
146,1,1,33.0,2.0,-20.07,168.89,7.3,18,18,16,16,3,3,3,3,2008-04-09T12:46:13.439996Z
147,-1,-1,24.0,0.0,17.4,-100.96,7.3,2,2,2,2,0,0,0,0,2014-04-18T14:27:27.359998Z
148,-1,-1,32.0,1.0,38.44,142.84,7.3,0,0,0,0,0,0,0,0,2011-03-09T02:45:18.719998Z
149,1,1,31.0,1.0,-15.19,-173.59,7.3,5,5,5,5,0,0,0,0,1995-04-07T22:06:57.600005Z
150,-1,-1,40.0,1.0,12.53,-88.12,7.3,0,0,0,0,1,1,1,1,2014-10-14T03:51:33.119996Z
151,-1,-1,10.0,3.0,16.72,-86.23,7.3,1,1,1,1,0,0,0,0,2009-05-28T08:24:43.199995Z
152,1,1,52.0,0.0,52.07,-171.84,7.3,6,6,5,5,0,0,0,0,2011-06-24T03:09:38.880002Z
