,Cid_G,Cid_M,Cid_Z,Dep0,Lat0,Lon0,M0,N_AS_G,N_AS_M,N_AS_Z,N_AS_allG,N_AS_allZ,N_FS_G,N_FS_M,N_FS_Z,N_FS_allG,N_FS_allZ,T0G,T0M,T0Z,c_typeG,c_typeM,c_typeZ,c_typeallG,c_typeallZ
10,7405,24,8862,39.0,-13.386,-76.60300000000001,8.0,28,50,45,31,45,0,7,6,3,22,2007-08-15T23:40:57.889981Z,2007-08-15T23:40:57.889981Z,2007-08-15T23:40:56.000003,1,1,1,1,1
11,5107,274,8868,16.0,52.648999999999994,-31.901999999999997,7.1,2,2,2,2,2,2,2,2,3,4,2015-02-13T18:59:12.229988Z,2015-02-13T18:59:12.229988Z,2015-02-13T18:59:11.000001,1,1,1,1,1
12,6790,125,12052,10.0,-21.95,169.42700000000002,7.5,72,79,26,72,26,37,43,31,192,63,2018-12-05T04:18:08.419963Z,2018-12-05T04:18:08.419963Z,2018-12-05T04:18:06.999997,1,1,1,0,2
13,7309,10,12873,22.0,-31.573,-71.67399999999999,8.3,129,159,155,183,155,1,10,7,4,201,2015-09-16T22:54:32.860016Z,2015-09-16T22:54:32.860016Z,2015-09-16T22:54:30.999998,1,1,1,1,1
14,5488,142,2880,30.0,1.271,122.09100000000001,7.4,5,6,3,7,9,0,0,3,1,14,2008-11-16T17:02:32.699970Z,2008-11-16T17:02:32.699970Z,2008-11-16T17:02:31.000001,1,1,1,1,1
15,6989,265,4765,58.0,-30.933000000000003,-71.22,7.1,11,13,13,13,17,0,1,2,0,24,1997-10-15T01:03:33.460044Z,1997-10-15T01:03:33.460044Z,1997-10-15T01:03:32.000000,1,1,1,1,0
16,4063,346,684,26.0,18.404,-102.973,7.0,4,5,5,4,5,0,0,0,1,3,1986-04-30T07:07:18.120000Z,1986-04-30T07:07:18.120000Z,1986-04-30T07:07:16.999999,1,1,1,1,1
17,6600,253,2708,19.0,-5.982,-77.094,7.1,19,22,18,19,18,2,2,3,10,12,1991-04-05T04:19:49.519988Z,1991-04-05T04:19:49.519988Z,1991-04-05T04:19:48.000001,1,1,1,1,1
18,6093,248,6251,10.0,-42.813,124.68799999999999,7.1,3,4,4,3,4,0,0,0,0,0,2001-12-12T14:02:35.040019Z,2001-12-12T14:02:35.040019Z,2001-12-12T14:02:33.999999,1,1,1,1,1
19,6453,106,9713,31.0,-23.043000000000003,-174.66,7.6,32,43,12,35,12,1,7,5,8,14,2009-03-19T18:17:40.469967Z,2009-03-19T18:17:40.469967Z,2009-03-19T18:17:39.000001,1,1,1,1,1
20,4860,74,1729,17.0,22.789,99.611,7.7,21,22,13,23,13,0,0,0,0,0,1988-11-06T13:03:19.340034Z,1988-11-06T13:03:19.340034Z,1988-11-06T13:03:18.000002,1,1,1,1,1
21,470,356,3640,4.0,40.406,-126.303,7.0,0,0,0,0,1,0,0,0,1,1,1994-09-01T15:15:48.309984Z,1994-09-01T15:15:48.309984Z,1994-09-01T15:15:46.999998,0,0,0,0,0
