,MAG,Time,Lat,Lon,Depth,clID,eType
6540,3.0,2016-11-27T16:21:29.200005Z,43.0077,13.0778,8.1,283,1.0
6541,3.0,2016-11-27T06:00:34.479998Z,42.903,13.194,7.7,283,1.0
6542,3.0,1991-10-10T07:40:02.460029Z,36.6527,15.2633,10.0,0,0.0
6543,3.0,2017-11-28T09:34:03.130006Z,43.0298,13.0208,7.7,283,1.0
6544,3.0,2018-03-28T07:36:52.669991Z,45.8702,11.8083,8.2,0,0.0
6545,3.0,2016-11-24T19:15:23.780019Z,42.9442,13.0822,9.9,283,1.0
6546,3.0,2016-11-24T02:49:43.919958Z,42.7062,13.2028,12.4,283,1.0
6547,3.0,2018-03-29T23:00:42.990024Z,43.0322,11.5752,7.8,0,0.0
6548,3.0,2016-11-23T08:35:40.909976Z,43.0457,13.0992,8.4,283,1.0
6549,3.0,1991-10-05T16:24:28.629991Z,44.0068,11.7562,2.0,0,0.0
6550,3.0,2017-01-04T12:12:20.069995Z,43.0073,13.1218,7.2,283,1.0
6551,3.0,1993-09-21T16:49:05.399963Z,42.294,13.432,7.5,0,0.0
6552,3.0,2016-11-04T02:29:14.769976Z,42.9287,13.0418,10.5,283,1.0
6553,3.0,2018-09-28T06:15:04.599962Z,37.7307,15.1258,8.3,0,0.0
6554,3.0,2016-11-03T22:53:36.999998Z,42.8045,13.1362,10.9,283,1.0
6555,3.0,1991-02-07T00:46:54.370009Z,44.4508,6.9437,16.4,0,0.0
6556,3.0,1993-04-09T19:11:29.359967Z,45.8983,11.971,3.4,0,0.0
6557,3.0,2016-10-30T21:57:11.050008Z,42.7853,13.0762,10.1,283,1.0
6558,3.0,2019-02-05T08:30:58.999998Z,45.8522,7.0773,10.1,0,0.0
6559,3.0,2016-10-30T21:53:46.750040Z,42.9823,13.0403,9.1,283,1.0
6560,3.0,1995-03-16T21:07:07.429959Z,39.771,16.4712,5.2,0,0.0
6561,3.0,1993-04-07T03:40:44.809994Z,38.0982,15.9808,69.5,0,0.0
6562,3.0,1992-01-04T10:37:53.309996Z,39.488,16.2592,5.5,0,0.0
6563,3.0,2019-03-21T21:42:47.200006Z,44.47,9.8212,7.8,0,0.0
6564,3.0,1991-01-16T20:18:10.430007Z,37.9838,16.061,11.8,0,0.0
6565,3.0,2017-01-18T13:45:32.259970Z,42.5423,13.2707,12.8,283,1.0
6566,3.0,2016-10-30T20:18:04.249986Z,42.8423,12.9917,10.2,283,1.0
6567,3.0,2016-10-30T19:43:36.840027Z,43.0068,13.069,8.0,283,1.0
6568,3.0,1995-04-06T07:15:04.840009Z,41.1273,14.9602,17.5,0,0.0
