,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60,nf_all_apr,na_all_apr,nf_apr,na_apr
679,-999.000,-999.000,787,22.0,-999.0,0.3,-999.0,0.3, 8.191,-82.903,2.8,0,1,0,1,2020-03-08T01:52:57.999999,-999.000,-999.000,-1,-1, 1, 0,1,0
680,-999.000,-999.000,780,23.0,-999.0,0.3,-999.0,0.3, 8.238,-82.792,2.7,0,1,0,1,2020-02-23T07:49:31.999998,-999.000,-999.000,-1,-1, 1, 0,1,0
681,-999.000,-999.000,781,11.0,-999.0,0.5,-999.0,0.5, 8.977,-84.048,2.9,0,1,0,1,2020-02-24T11:32:00.000000,-999.000,-999.000,-1,-1, 1, 0,1,0
682,-999.000,-999.000,782,32.0,0.5,-999.0,0.5,-999.0,10.495,-85.738,3.3,1,0,1,0,2020-02-26T20:35:44.999998,-999.000,-999.000,-1,-1, 0, 1,0,1
683,-999.000,-999.000,381,9.0,0.2,-999.0,0.2,-999.0, 8.216,-82.895,4.1,1,0,1,0,2017-08-31T09:12:09.000003,-999.000,-999.000,-1,-1, 0, 1,0,1
684,-999.000,-999.000,788,20.0,-999.0,0.7,-999.0,0.7, 8.680,-83.270,3.5,0,1,0,1,2020-03-10T00:57:49.000000,-999.000,-999.000,-1,-1, 1, 0,1,0
685,-999.000,-999.000,789,18.0,0.2,-999.0,0.2,-999.0, 9.332,-84.105,2.9,1,0,1,0,2020-03-12T06:51:45.000001,-999.000,-999.000,-1,-1, 0, 1,0,1
686,-999.000,-999.000,860,8.0,-999.0,0.1,-999.0,0.1, 8.867,-84.109,2.6,0,1,0,1,2020-08-29T10:39:09.000001,-999.000,-999.000,-1,-1, 1, 0,1,0
687,-999.000,-999.000,151,22.0,0.6,-999.0,0.6,-999.0, 8.334,-82.860,3.6,2,0,2,0,2015-02-24T04:25:00.000004,-999.000,-999.000,-1,-1, 0, 2,0,2
688,-999.000,-999.000,579,30.0,0.8,-999.0,0.8,-999.0, 9.585,-84.416,3.4,1,0,1,0,2018-11-17T10:21:57.000003,-999.000,-999.000,-1,-1, 0, 1,0,1
