,b_a,b_f,c_type,c_type60,cid,depth0,dm_a,dm_f,fstyle_m,lat0,lon0,m0,na,na_all,na_all_apr,na_apr,nf,nf_all,nf_all_apr,nf_apr,ot0,rate_a,rate_f
71,-999.0,-999,1,1,72,10.0,1.5999999999999996,1.3999999999999995,1.0,-4.05,152.6,7.6,4,4,4,4,1,1,1,1,2019-05-14T12:58:27.839996Z,0.2550190945546654,inf
72,-999.0,-999,1,1,73,10.0,1.3999999999999995,1.2999999999999998,0.0,9.68,-83.08,7.6,4,4,4,4,1,1,1,1,1991-04-22T21:56:52.799996Z,0.12129519003933353,inf
73,-999.0,-999,0,0,74,45.0,-999.0,-999.0,3.0,-13.01,166.51,7.6,0,0,0,0,0,0,0,0,2009-10-07T22:03:12.960004Z,-999.0,-999.0
74,-999.0,-999,1,1,75,26.0,1.7999999999999998,0.8999999999999995,3.0,45.47,151.05,7.6,5,5,5,5,12,12,12,12,1991-12-22T08:43:09.119997Z,0.1130720314067098,0.9332130525450452
75,-999.0,-999,0,0,76,33.0,2.1999999999999993,-999.0,3.0,-17.54,-72.08,7.6,1,1,1,1,0,0,0,0,2001-07-07T09:38:44.160005Z,inf,-999.0
76,-999.0,-999,0,0,77,38.0,2.1999999999999993,-999.0,1.0,-43.41,-73.94,7.6,1,1,1,1,0,0,0,0,2016-12-25T14:22:24.959999Z,inf,-999.0
77,-999.0,-999,1,1,78,13.0,1.5,2.0999999999999996,1.0,-3.3,142.95,7.6,8,8,8,8,2,2,2,2,2002-09-08T18:44:21.119996Z,0.20069843053873837,0.07660281821739204
78,-999.0,-999,1,1,79,17.0,1.7999999999999998,2.3999999999999995,3.0,40.75,29.86,7.6,2,2,2,2,1,1,1,1,1999-08-17T00:01:35.039999Z,0.12893077706581504,inf
79,-999.0,-999,1,1,80,26.0,1.1999999999999993,-999.0,3.0,34.54,73.59,7.6,14,14,14,14,0,0,0,0,2005-10-08T03:50:41.280004Z,0.3188877196336964,-999.0
80,-999.0,-999,1,1,81,20.0,2.1999999999999993,1.5,3.0,-0.25,119.84,7.6,3,3,3,3,2,2,2,2,2018-09-28T10:02:47.039998Z,3.09501702260314,33.89830507992996
81,-999.0,-999,1,1,82,10.0,1.5999999999999996,1.8999999999999995,1.0,11.76,-87.42,7.6,11,11,11,11,2,2,2,2,1992-09-02T00:15:59.040000Z,0.4805130131660136,2.0650490447539687
82,-999.0,-999,1,1,83,16.0,1.8999999999999995,-999.0,3.0,23.42,70.23,7.6,3,3,3,3,0,0,0,0,2001-01-26T03:16:42.239997Z,0.13448693235289336,-999.0
83,-999.0,-999,1,1,84,22.0,1.0,-999.0,1.0,60.95,167.09,7.6,9,9,9,9,0,0,0,0,2006-04-20T23:25:00.479996Z,0.2877486228035065,-999.0
84,-999.0,-999,1,1,85,33.0,1.0999999999999996,2.1999999999999993,2.0,23.77,120.98,7.6,13,13,13,13,1,1,1,1,1999-09-20T17:47:19.680004Z,0.3107245379173804,inf
85,-999.0,-999,1,1,86,17.0,1.5999999999999996,1.7999999999999998,2.0,-29.54,-176.34,7.6,28,28,28,28,2,2,2,2,2011-07-06T19:03:21.600010Z,0.6059661697751134,0.10549636037565514
86,-999.0,-999,1,1,87,34.0,2.0,2.0999999999999996,3.0,-23.05,-174.66,7.6,5,5,5,5,2,2,2,2,2009-03-19T18:17:42.719995Z,0.2934892348151654,5.737234652458933
87,-999.0,-999,2,2,88,22.6,0.1999999999999993,1.5999999999999996,3.0,-11.27,162.15,7.6,15,15,15,15,1,1,1,1,2014-04-12T20:14:38.399996Z,0.3751031533677089,inf
88,-999.0,-999,1,1,89,10.0,2.3,-999.0,2.0,-60.53,-43.41,7.6,3,3,3,3,0,0,0,0,2003-08-04T04:37:20.639996Z,0.3125195324724652,-999.0
89,-999.0,-999,0,0,90,19.7,-999.0,-999.0,0.0,38.11,144.55,7.6,0,0,0,0,0,0,0,0,2011-03-11T06:25:46.559998Z,-999.0,-999.0
90,-999.0,-999,1,1,91,24.0,1.5999999999999996,-999.0,0.0,18.77,-104.1,7.5,3,3,3,3,0,0,0,0,2003-01-22T02:06:34.560004Z,0.11822566915724317,-999.0
91,-999.0,-999,1,1,92,31.0,1.7000000000000002,-999.0,3.0,6.03,124.25,7.5,5,5,5,5,0,0,0,0,2002-03-05T21:16:07.679996Z,0.08496985269634486,-999.0
92,-999.0,-999,0,0,93,33.0,2.2,-999.0,2.0,35.07,87.32,7.5,1,1,1,1,0,0,0,0,1997-11-08T10:02:55.680003Z,inf,-999.0
93,-999.0,-999,1,1,94,25.2,0.7999999999999998,-999.0,2.0,-6.07,142.75,7.5,15,15,15,15,0,0,0,0,2018-02-25T17:44:44.159997Z,0.37603409375770236,-999.0
