,b_a,b_f,cid,depth0,dm_a,dm_f,dm_a_all,dm_f_all,lat0,lon0,m0,na,nf,na_all,nf_all,ot0,rate_a,rate_f,c_type,c_type60
505,-999.000,-999.000,422,12.0,0.1,-999.0,0.1,-999.0,34.855,-119.242,3.7,1,0,1,0,2007-06-04T08:15:07.000000,-999.000,-999.000,0,0
506,-999.000,-999.000,425,5.0,1.0,-999.0,1.0,-999.0,37.804,-122.193,4.2,1,0,1,0,2007-07-20T11:42:21.000001,-999.000,-999.000,0,0
507,-999.000,-999.000,424,8.0,0.9,-999.0,0.9,-999.0,36.880,-121.623,4.2,1,0,1,0,2007-07-02T19:58:52.000003,-999.000,-999.000,0,0
508,-999.000,-999.000,427,4.0,-999.0,0.1,-999.0,0.1,36.553,-121.121,3.4,0,1,0,1,2007-12-11T08:04:43.000000,-999.000,-999.000,0,0
509,-999.000,-999.000,426,9.0,1.8,-999.0,1.7,-999.0,37.434,-121.774,5.5,1,0,4,0,2007-10-31T03:04:52.999999,-999.000,-999.000,1,0
510,-999.000,-999.000,308,11.0,-999.0,0.3,-999.0,0.3,35.745,-118.009,3.7,0,1,0,1,2000-01-26T11:02:02.000003,-999.000,-999.000,0,0
511,-999.000,-999.000,309,4.0,1.8,-999.0,1.8,-999.0,40.389,-125.239,5.7,3,0,3,0,2000-03-16T15:19:55.000001,-999.000,-999.000,1,1
512,-999.000,-999.000,300,-2.0,-999.0,0.1,-999.0,0.1,37.461,-118.844,3.8,0,1,0,1,1999-07-16T10:14:49.000001,-999.000,-999.000,0,0
513,-999.000,-999.000,301,13.0,0.2,-999.0,0.2,-999.0,39.742,-122.830,3.4,2,0,2,0,1999-08-17T03:56:25.000001,-999.000,-999.000,0,0
514,-999.000,-999.000,302,9.0,-999.0,0.1,-999.0,0.1,35.791,-121.257,3.5,0,1,0,1,1999-09-21T15:42:47.000003,-999.000,-999.000,0,0
